A2006010116333703 002 345044 007 1323315 008  99104430V   5112  6224ìáç™åßêºïî                7K
A2006010208365722 004 322942 012 1303564 014 118708534V   5112  7271åFñ{åßåFñ{ínï˚           11K
7410132 020837000 2 15 ///// 00174 N00092 E00171 Z00071 P///P///P///P///P///P///                
7321701 020837082 1 05 37130 00043 N00038 E00018 Z00032 F087F087F061F061F108F090                
7410100 020837004 1 07 37025 00042 N00042 E00029 Z00017 F052F052F086F086F040F332                
7410130 020837020 1 09 ///// 00044 N00044 E00028 Z00020 P///P///P///P///P///P///                
7414800 020837044 1 11 37050 00036 N00025 E00035 Z00015 F022F022F031F031F040F040                
7414830 020837050 1 06 ///// 00029 N00028 E00022 Z00015 P///P///P///P///P///P///                
7420000 020837040 1 09 37107 00041 N00033 E00039 Z00034 F045F045F065F065F065F065                
7430400 020837063 1 05 37067 00029 N00026 E00020 Z00022 F035F035F035F035F129F409                
7431900 020837052 1 07 37057 00028 N00017 E00026 Z00023 F027F027F027F027F068F192                
7431930 020837030 1 10 ///// 00041 N00037 E00033 Z00021 P///P///P///P///P///P///                
7431931 020837040 1 08 ///// 00053 N00028 E00053 Z00016 P///P///P///P///P///P///                
A2006010223384010 002 335512 006 1351344 010  72404029V   5112  5191òaâÃéRåßñkïî              3K
5500400 022338428 2 16 38444 00474 N00454 E00215 Z00086 F137F137F139F139F075F075                
5502630 022338440 1 05 ///// 00144 N00051 E00072 Z00143 F109P///F104P///F221P///                
5503530 022338430 1 12 ///// 00151 N00110 E00145 Z00070 F036P///F037P///F104P///                
A2006010302512240 005 340701 018 1393040 033  0     19V   5211  3104éOëÓìáãﬂäC                1K
3570000 030251266 1 06 51309 00017 N00017 E00012 Z00006 F021F021F027F027F016F082                
A2006010307170447 008 340390 031 1393195 050  0     19v   5211  3104éOëÓìáãﬂäC                1K
3570000 030717078 1 05 17110 00014 N00012 E00011 Z00005 F020F020F028F028F019F067                
A2006010314521049 011 384843 028 1420081 066 461611133V   5111  2 66ã{èÈåßâ´                  2K
2130431 031452311 1 07 ///// 00103 N00071 E00086 Z00050 P001P///P001P///P001P///                
2205520 031452270 1 09 ///// 00168 N00100 E00139 Z00033 P001P///P001P///P001P///                
A2006010318124328 003 385427 011 1410261 013  81007830V   5112  2 49ä‚éËåßì‡ó§ìÏïî            6K
2205200 031812457 2 24 12475 00374 N00355 E00323 Z00107 F059F059F075F075F190F190                
2130420 031812483 1 06 ///// 00025 N00020 E00020 Z00022 P001P///P001P///P001P///                
2205220 031812490 1 10 ///// 00095 N00093 E00069 Z00019 P001P///P001P///P001P///                
2205232 031812510 1 13 ///// 00091 N00083 E00074 Z00032 P001P///P001P///P002P///                
2205234 031812480 1 11 ///// 00112 N00102 E00082 Z00043 P001P///P001P///P001P///                
2205235 031812510 1 11 ///// 00043 N00022 E00028 Z00035 P001P///P001P///P001P///                
A2006010319540856 012 244042 057 1250893 032 326014645D43V5112  7293ã{å√ìáãﬂäC                4K
8040600 031954155 2 17 54199 00189 N00152 E00175 Z00068 F133F135F127F126F157F144                
8040601 031954138 2 23 54185 00387 N00242 E00380 Z00116 F067F067F082F082F079F079                
8040602 031954147 2 17 54201 00124 N00112 E00114 Z00046 F043F043F039F039F088F088                
8040500 031954228 1 10 54231 00041 N00036 E00033 Z00022 F037F037F037F037F041F041                
A2006010321260049 016 411916 069 1423938 100 349048347D48V5112  2 60ê¬êXåßìåï˚â´             50K
2000200 032126327 2 17 26454 00093 N00092 E00070 Z00038 F070F070F034F034F056F056                
2020030 032126420 2 17 ///// 00077 N///// E///// Z///// P///P///P///P///P///P///                
2020330 032126400 2 21 ///// 00142 N///// E///// Z///// P///P///P///P///P///P///                
2020430 032126420 2 16 ///// 00064 N///// E///// Z///// P///P///P///P///P///P///                
2020431 032126420 2 22 ///// 00117 N///// E///// Z///// P///P///P///P///P///P///                
2021030 032126400 2 16 ///// 00110 N///// E///// Z///// P///P///P///P///P///P///                
2021031 032126310 2 18 ///// 00122 N///// E///// Z///// P///P///P///P///P///P///                
2021500 032126262 2 19 26455 00121 N00110 E00077 Z00065 F066F066F036F036F066F066                
2021830 032126450 2 15 ///// 00083 N///// E///// Z///// P///P///P///P///P///P///                
2030000 032126234 2 15 26398 00062 N00055 E00061 Z00018 F093F093F038F036F036F036                
1060000 032126456 1 09 26490 00022 N00016 E00020 Z00008 F027F027F024F024F051F039                
1060030 032126410 1 10 ///// 00028 N00027 E00024 Z00011 P004P///P004P///P004P///                
1061030 032126530 1 06 ///// 00013 N00012 E00012 Z00005 P004P///P007P///P005P///                
1460030 032126470 1 11 ///// 00028 N///// E///// Z///// P///P///P///P///P///P///                
1510030 032126420 1 09 ///// 00015 N00014 E00013 Z00005 P007P///P006P///P002P///                
1510300 032126374 1 09 26414 00025 N00021 E00022 Z00005 F025F025F026F026F032F034                
2000000 032126464 1 07 26504 00023 N00021 E00021 Z00012 F064F048F062F036F081F055                
2000030 032126580 1 05 ///// 00023 N///// E///// Z///// P///P///P///P///P///P///                
2000130 032126570 1 06 ///// 00027 N///// E///// Z///// P///P///P///P///P///P///                
2000530 032126520 1 06 ///// 00021 N///// E///// Z///// P///P///P///P///P///P///                
2002032 032126560 1 05 ///// 00017 N///// E///// Z///// P///P///P///P///P///P///                
2002130 032126490 1 12 ///// 00045 N///// E///// Z///// P///P///P///P///P///P///                
2002132 032126550 1 05 ///// 00015 N///// E///// Z///// P///P///P///P///P///P///                
2002230 032126540 1 07 ///// 00028 N///// E///// Z///// P///P///P///P///P///P///                
2002231 032126580 1 05 ///// 00016 N///// E///// Z///// P///P///P///P///P///P///                
2011330 032126560 1 07 ///// 00019 N///// E///// Z///// P///P///P///P///P///P///                
2020000 032126278 1 12 26423 00044 N00043 E00033 Z00013 F043F043F043F043F111F403                
2020001 032126387 1 05 26411 00028 N00021 E00025 Z00006 F062F062F056F056F049F083                
