3015600 021644473 1 05 44529 00013 N00009 E00013 Z00005 F025F025F028F028F101F092                
3110000 021644491 1 09 44532 00043 N00036 E00033 Z00006 F054F054F055F055F097F092                
3110420 021644506 1 09 44512 00026 N00021 E00026 Z00009 F034F034F034F034F045F045                
3111400 021644501 1 05 44540 00016 N00015 E00011 Z00004 F036F036F034F034F083F125                
3111520 021644546 1 05 44534 00021 N00019 E00017 Z00011 F060F060F049F050F081F086                
3500000 021644360 1 06 44398 00017 N00016 E00015 Z00007 F042F034F027F027F039F092                
3600300 021644328 1 11 44346 00020 N00020 E00012 Z00004 F023F023F022F022F023F126                
A2009010308101179 007 291956 043 1300266 135 501823337V   5111  7296âÇî¸ëÂìáñkìåâ´            1K
7740000 030810292 1 06 10332 00046 N00044 E00038 Z00011 F125F125F126F126F073F125                
A2009010316130359 016 370372 036 1411031 085 505110548D50V5114  2 69ïüìáåßâ´                282K
2504732 031613150 4 36 ///// 01107 N///// E///// Z///// P///P///P///P///P///P///                
2510630 031613140 4 36 ///// 00934 N///// E///// Z///// P///P///P///P///P///P///                
2500220 031613195 3 29 13315 00452 N00388 E00287 Z00124 F054F054F074F073F090F149                
2503630 031613170 3 29 ///// 00258 N///// E///// Z///// P///P///P///P///P///P///                
2504731 031613160 3 29 ///// 00298 N///// E///// Z///// P///P///P///P///P///P///                
2504733 031613150 3 26 ///// 00569 N///// E///// Z///// P///P///P///P///P///P///                
2510000 031613130 3 26 13189 00331 N00312 E00237 Z00066 F046F046F048F048F047F047                
2510001 031613128 3 33 13193 00634 N00604 E00508 Z00209 F059F059F061F061F077F078                
2510021 031613182 3 29 13200 00575 N00541 E00228 Z00090 F048F048F053F053F037F033                
2510030 031613130 3 26 ///// 00410 N///// E///// Z///// P///P///P///P///P///P///                
2510320 031613125 3 28 13193 00518 N00390 E00467 Z00139 F098F097F102F095F101F102                
2510430 031613130 3 27 ///// 00476 N///// E///// Z///// P///P///P///P///P///P///                
2510530 031613140 3 25 ///// 00504 N///// E///// Z///// P///P///P///P///P///P///                
2510600 031613135 3 25 13208 00608 N00407 E00559 Z00089 F105F105F120F120F119F119                
2510620 031613139 3 30 13212 00649 N00555 E00345 Z00225 F040F040F037F040F176F032                
2510730 031613140 3 27 ///// 00433 N///// E///// Z///// P///P///P///P///P///P///                
2510900 031613144 3 26 13223 00360 N00339 E00288 Z00114 F122F122F055F055F150F150                
2511020 031613232 3 28 13242 00414 N00218 E00359 Z00103 F046F046F044F050F081F081                
2511532 031613160 3 25 ///// 00228 N///// E///// Z///// P///P///P///P///P///P///                
2205734 031613520 2 15 ///// 00073 N00050 E00068 Z00029 P003P///P002P///P002P///                
2210620 031613227 2 16 13377 00072 N00059 E00062 Z00030 F016F016F050F050F025F028                
2210730 031613380 2 19 ///// 00100 N00077 E00092 Z00024 P003P///P002P///P001P///                
2210820 031613334 2 22 13340 00112 N00104 E00078 Z00027 F026F029F041F041F065F048                
2211020 031613243 2 23 13383 00158 N00128 E00149 Z00042 F051F042F041F041F055F035                
2211130 031613260 2 21 ///// 00103 N00102 E00097 Z00028 P003P///P003P///P002P///                
2211330 031613290 2 15 ///// 00049 N00032 E00048 Z00027 P009P///P008P///P003P///                
2211430 031613230 2 17 ///// 00070 N00058 E00054 Z00039 P005P///P007P///P002P///                
2211500 031613226 2 17 13391 00160 N00158 E00111 Z00025 F078F078F070F070F095F095                
2211630 031613290 2 20 ///// 00130 N00123 E00117 Z00042 P002P///P002P///P002P///                
2211830 031613350 2 17 ///// 00077 N00064 E00060 Z00032 P004P///P003P///P002P///                
2211930 031613300 2 20 ///// 00174 N00087 E00174 Z00080 P004P///P003P///P002P///                
2220020 031613432 2 15 13449 00091 N00058 E00075 Z00023 F030F030F041F035F068F068                
2220533 031613480 2 15 ///// 00062 N00057 E00050 Z00026 P002P///P001P///P002P///                
2220620 031613409 2 17 13447 00090 N00055 E00088 Z00036 F047F047F048F050F047F047                
2500000 031613208 2 17 13333 00066 N00060 E00048 Z00044 F031F031F055F055F045F028                
2500020 031613207 2 15 13332 00119 N00110 E00091 Z00030 F028F028F032F032F030F028                
2500030 031613240 2 19 ///// 00094 N///// E///// Z///// P///P///P///P///P///P///                
2500031 031613180 2 16 ///// 00078 N///// E///// Z///// P///P///P///P///P///P///                
2500100 031613186 2 19 13289 00113 N00085 E00113 Z00086 F075F049F035F020F073F073                
2500120 031613185 2 22 13189 00218 N00092 E00129 Z00210 F089F089F076F084F074F072                
2500121 031613209 2 20 13335 00106 N00102 E00103 Z00055 F018F018F025F025F029F029                
2500200 031613195 2 20 13304 00122 N00113 E00088 Z00032 F048F048F054F054F032F023                
2500230 031613210 2 16 ///// 00069 N///// E///// Z///// P///P///P///P///P///P///                
2500231 031613180 2 23 ///// 00260 N///// E///// Z///// P///P///P///P///P///P///                
2500232 031613180 2 19 ///// 00106 N///// E///// Z///// P///P///P///P///P///P///                
2500233 031613210 2 19 ///// 00138 N///// E///// Z///// P///P///P///P///P///P///                
2500320 031613179 2 20 13180 00123 N00071 E00082 Z00122 F028F029F027F029F098F098                
2500330 031613180 2 20 ///// 00139 N///// E///// Z///// P///P///P///P///P///P///                
2500332 031613200 2 22 ///// 00175 N///// E///// Z///// P///P///P///P///P///P///                
2500420 031613192 2 21 13303 00155 N00153 E00137 Z00081 F039F039F034F034F078F078                
2500430 031613200 2 18 ///// 00218 N///// E///// Z///// P///P///P///P///P///P///                
2500431 031613200 2 18 ///// 00150 N///// E///// Z///// P///P///P///P///P///P///                
2500433 031613180 2 24 ///// 00246 N///// E///// Z///// P///P///P///P///P///P///                
2500530 031614250 2 16 ///// 00063 N///// E///// Z///// P///P///P///P///P///P///                
2500730 031613230 2 24 ///// 00129 N///// E///// Z///// P///P///P///P///P///P///                
2501230 031613300 2 22 ///// 00199 N///// E///// Z///// P///P///P///P///P///P///                
2501500 031613198 2 16 13313 00091 N00085 E00071 Z00044 F025F025F039F039F097F037                
2501530 031613200 2 15 ///// 00140 N///// E///// Z///// P///P///P///P///P///P///                
2502130 031613180 2 20 ///// 00139 N///// E///// Z///// P///P///P///P///P///P///                
2502330 031613200 2 19 ///// 00115 N///// E///// Z///// P///P///P///P///P///P///                
2502430 031613210 2 20 ///// 00131 N///// E///// Z///// P///P///P///P///P///P///                
2502730 031613190 2 16 ///// 00081 N///// E///// Z///// P///P///P///P///P///P///                
2502830 031613180 2 23 ///// 00252 N///// E///// Z///// P///P///P///P///P///P///                
2502930 031613180 2 15 ///// 00051 N///// E///// Z///// P///P///P///P///P///P///                
2503101 031613171 2 17 13271 00115 N00101 E00082 Z00038 F062F062F064F064F076F076                
2503220 031613257 2 15 13258 00119 N00081 E00100 Z00029 F041F174F056F056F052F052                
2503230 031613170 2 21 ///// 00208 N///// E///// Z///// P///P///P///P///P///P///                
2503530 031613170 2 19 ///// 00236 N///// E///// Z///// P///P///P///P///P///P///                
2503730 031613160 2 24 ///// 00290 N///// E///// Z///// P///P///P///P///P///P///                
2503830 031613170 2 20 ///// 00143 N///// E///// Z///// P///P///P///P///P///P///                
2503930 031613160 2 23 ///// 00122 N///// E///// Z///// P///P///P///P///P///P///                
2504030 031613170 2 16 ///// 00163 N///// E///// Z///// P///P///P///P///P///P///                
2504120 031613150 2 21 13232 00252 N00234 E00242 Z00064 F101F101F086F101F121F121                
2504130 031613160 2 23 ///// 00432 N///// E///// Z///// P///P///P///P///P///P///                
2504700 031613165 2 20 13257 00153 N00141 E00145 Z00083 F045F045F065F065F121F121                
2504730 031613160 2 24 ///// 00270 N///// E///// Z///// P///P///P///P///P///P///                
2504831 031613200 2 18 ///// 00143 N///// E///// Z///// P///P///P///P///P///P///                
2504832 031613240 2 17 ///// 00069 N///// E///// Z///// P///P///P///P///P///P///                
2504833 031613310 2 23 ///// 00191 N///// E///// Z///// P///P///P///P///P///P///                
2504930 031613190 2 17 ///// 00089 N///// E///// Z///// P///P///P///P///P///P///                
2504931 031613190 2 22 ///// 00162 N///// E///// Z///// P///P///P///P///P///P///                
2510020 031613122 2 23 13183 00211 N00195 E00169 Z00075 F033F034F087F089F132F036                
2510230 031613190 2 22 ///// 00124 N///// E///// Z///// P///P///P///P///P///P///                
2510330 031613130 2 23 ///// 00187 N///// E///// Z///// P///P///P///P///P///P///                
2510720 031613134 2 23 13211 00255 N00173 E00223 Z00093 F030F031F032F035F030F030                
2510830 031613190 2 22 ///// 00116 N///// E///// Z///// P///P///P///P///P///P///                
2511030 031613160 2 21 ///// 00272 N///// E///// Z///// P///P///P///P///P///P///                
2511131 031613200 2 22 ///// 00166 N///// E///// Z///// P///P///P///P///P///P///                
2511430 031613180 2 24 ///// 00522 N///// E///// Z///// P///P///P///P///P///P///                
2511500 031613162 2 21 13250 00323 N00164 E00290 Z00035 F138F138F032F032F029F029                
2511520 031613158 2 19 13249 00208 N00159 E00148 Z00038 F103F102F030F105F169F177                
2511530 031613250 2 20 ///// 00196 N///// E///// Z///// P///P///P///P///P///P///                
2511531 031613180 2 20 ///// 00150 N///// E///// Z///// P///P///P///P///P///P///                
2520021 031613378 2 17 13419 00060 N00042 E00059 Z00016 F035F033F037F036F029F027                
3000120 031613234 2 17 13262 00175 N00137 E00162 Z00091 F095F047F130F130F067F058                
