A198701020535490  01  34146  04  135128  03   84 11 18V   1111  5190òaâÃéRåßñkïî              1K
5500000 020535515 1 // ///// ///// N///// E///// Z/////                                         
A198701030352461  01  36169  04  140481  08  566 18 43J42V1112  3111àÔèÈåßâ´                  3K
3000000 030352558 2 // ///// ///// N///// E///// Z/////                                         
3010200 030352000 2 // ///// ///// N///// E///// Z/////                                         
3110000 030353012 1 // ///// ///// N///// E///// Z/////                                         
A198701041150586  01  40088  04  141470  09  591 18 35V   1112  2 48ä‚éËåßâàä›ñkïî            1K
2100000 041151011 2 // ///// ///// N///// E///// Z/////                                         
A198701051103048  02  35573  05  139346  07  968 18 41D37V1111  3 89çÈã åßìÏïî                2K
3110000 051103214 1 // ///// ///// N///// E///// Z/////                                         
4400000 051103250 1 // ///// ///// N///// E///// Z/////                                         
A198701060340331  01  34577  04  136043  04  108 16 34V   1112  5195é†âÍåßìÏïî                1K
4614300 060340000 2 // ///// ///// N///// E///// Z/////                                         
A198701060952390  01  41381  05  143493  11  47     42V   1211  1 29è\èüâ´                    1K
1570400 060952000 1 // ///// ///// N///// E///// Z/////                                         
A198701061407523  12  23225  71  122232  46 135     55D   1711  8311ë‰òpïtãﬂ                  2S
8050000 061408254 1 // ///// ///// N///// E///// Z/////                                         
8070070 061408000 1 // ///// ///// N///// E///// Z/////                                         
A198701090805306  01  36283  05  140366  09  524 20 44J45V1112  3 86àÔèÈåßñkïî                6K
3000000 090805397 2 // ///// ///// N///// E///// Z/////                                         
3010200 090805000 2 // ///// ///// N///// E///// Z/////                                         
2500200 090805000 1 // ///// ///// N///// E///// Z/////                                         
2510000 090805000 1 // ///// ///// N///// E///// Z/////                                         
3100000 090805000 1 // ///// ///// N///// E///// Z/////                                         
3110000 090805434 1 // ///// ///// N///// E///// Z/////                                         
A198701091514460  01  39502  04  141466  09  716 16 66D63V11152 2 48ä‚éËåßâàä›ñkïî           47K
2110000 091515025 5 // ///// ///// N///// E///// Z/////                                         
2120000 091514586 5 // ///// ///// N///// E///// Z/////                                         
2020000 091515009 4 // ///// ///// N///// E///// Z/////                                         
2100000 091514572 4 // ///// ///// N///// E///// Z/////                                         
2220100 091515142 4 // ///// ///// N///// E///// Z/////                                         
2220500 091515110 4 // ///// ///// N///// E///// Z/////                                         
2400100 091515016 4 // ///// ///// N///// E///// Z/////                                         
1520000 091515255 3 // ///// ///// N///// E///// Z/////                                         
1560000 091515362 3 // ///// ///// N///// E///// Z/////                                         
1570400 091515000 3 // ///// ///// N///// E///// Z/////                                         
1610000 091515403 3 // ///// ///// N///// E///// Z/////                                         
2000000 091515086 3 // ///// ///// N///// E///// Z/////                                         
2030000 091514000 3 // ///// ///// N///// E///// Z/////                                         
2310000 091515089 3 // ///// ///// N///// E///// Z/////                                         
2410000 091514000 3 // ///// ///// N///// E///// Z/////                                         
2420000 091515174 3 // ///// ///// N///// E///// Z/////                                         
2500000 091515230 3 // ///// ///// N///// E///// Z/////                                         
2500200 091515000 3 // ///// ///// N///// E///// Z/////                                         
2510000 091515304 3 // ///// ///// N///// E///// Z/////                                         
3000000 091515039 3 // ///// ///// N///// E///// Z/////                                         
3010200 091515000 3 // ///// ///// N///// E///// Z/////                                         
3500000 091515511 3 // ///// ///// N///// E///// Z/////                                         
3600300 091515560 3 // ///// ///// N///// E///// Z/////                                         
1060000 091515206 2 // ///// ///// N///// E///// Z/////                                         
1100000 091514000 2 // ///// ///// N///// E///// Z/////                                         
1160500 091514000 2 // ///// ///// N///// E///// Z/////                                         
1220100 091514000 2 // ///// ///// N///// E///// Z/////                                         
1460100 091514000 2 // ///// ///// N///// E///// Z/////                                         
2010300 091514000 2 // ///// ///// N///// E///// Z/////                                         
3110000 091515401 2 // ///// ///// N///// E///// Z/////                                         
1010000 091515358 1 // ///// ///// N///// E///// Z/////                                         
1061000 091514000 1 // ///// ///// N///// E///// Z/////                                         
1150000 091514000 1 // ///// ///// N///// E///// Z/////                                         
1460000 091515256 1 // ///// ///// N///// E///// Z/////                                         
1670000 091515505 1 // ///// ///// N///// E///// Z/////                                         
2520000 091514000 1 // ///// ///// N///// E///// Z/////                                         
3210000 091515477 1 // ///// ///// N///// E///// Z/////                                         
