interval_min_reg,prd_0_intercept,prd_0_slope,prd_0_rvalue,prd_0_factor,prd_1_intercept,prd_1_slope,prd_1_rvalue,prd_1_factor,prd_2_intercept,prd_2_slope,prd_2_rvalue,prd_2_factor
5.0,-0.4978997741265823,-0.031484958152504045,-0.9589813178387064,0.3177607309811428,-0.6716685972632321,-0.03148495815250405,-0.9589813178387065,0.21297636124741484,-0.9308681191464979,-0.031656531715783504,-0.9586954359645309,0.11725513765177592
10.0,-0.4087075297009438,-0.009937538984675335,-0.9332252555036957,0.3902046767737602,-0.6305562793173002,-0.009937538984675335,-0.9332252555036957,0.2341228060642561,-0.8518082711138955,-0.010420575717109014,-0.9348676155588971,0.14066683918858017
40.0,-0.32666603509896874,-0.002731408803456596,-0.9810801444202012,0.4713396390554288,-0.6028724470379173,-0.0027314088034565993,-0.9810801444202012,0.24953275008816847,-0.7954448561369047,-0.002775761964777906,-0.9841148441043194,0.16016039965985418
80.0,-0.049498844945829235,-0.000706962543385009,-0.9998736890941115,0.8922799927019223,-0.38529094686902216,-0.0007069625433850094,-0.9998736890941116,0.4118215350931951,-0.5743371831038203,-0.0006770309290383436,-0.9988575132090919,0.2664788938250729
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
