code,address,lat,lon,from,to,latitude,longitude,date_b,date_e,beginning,end,date_b_sub,date_e_sub,duration,ge1_raw,rge1_ras,ge1_raw_py,rge1_ras_py,ge2_raw,rge2_ras,ge2_raw_py,rge2_ras_py,ge3_raw,rge3_ras,ge3_raw_py,rge3_ras_py,ge4_raw,rge4_ras,ge4_raw_py,rge4_ras_py,ge5_raw,rge5_ras,ge5_raw_py,rge5_ras_py,ge6_raw,rge6_ras,ge6_raw_py,rge6_ras_py,ge7_raw,rge7_ras,ge7_raw_py,rge7_ras_py,est7,est6,est5,slope,intercept,rvalue
2300100,男鹿市男鹿中（旧）,3955,13948,199407151200,201203301200.0,39.916666666666664,139.8,1994-07-15,2012-03-30,1919-01-01,2019-12-31,1994-07-15,2012-03-30,17.708782521201666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300101,男鹿市男鹿中,3955,13948,201203301200,,39.916666666666664,139.8,2012-03-30,2019-12-31,1919-01-01,2019-12-31,2012-03-30,2019-12-31,7.7537526437914535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300130,男鹿市船川（旧）＊,3953,13951,199711101200,201711291200.0,39.88333333333333,139.85,1997-11-10,2017-11-29,1919-01-01,2019-12-31,1997-11-10,2017-11-29,20.05243091918383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300131,男鹿市角間崎（旧）＊,3958,13955,200312011200,201712011200.0,39.96666666666667,139.91666666666666,2003-12-01,2017-12-01,1919-01-01,2019-12-31,2003-12-01,2017-12-01,14.001656433739228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300160,若美町角間崎（旧）＊,3958,13955,199711101200,200312011200.0,39.96666666666667,139.91666666666666,1997-11-10,2003-12-01,1919-01-01,2019-12-31,1997-11-10,2003-12-01,6.056250299458579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300730,藤里町藤琴（旧）＊,4017,14016,199711101200,201711201200.0,40.28333333333333,140.26666666666668,1997-11-10,2017-11-20,1919-01-01,2019-12-31,1997-11-10,2017-11-20,20.027789756120935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300900,五城目町西磯ノ目,3957,14007,199604011200,,39.95,140.11666666666667,1996-04-01,2019-12-31,1919-01-01,2019-12-31,1996-04-01,2019-12-31,23.748605378618315,317.0,156.0,13.348152236569057,13.348152236569057,91.0,50.0,3.8318039543463223,3.8318039543463223,21.0,12.0,0.8842624510029975,0.8842624510029975,5.0,3.0,0.2105386788102375,0.2105386788102375,1.0,1.0,0.0421077357620475,0.0421077357620475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033447026951707566,0.011586390008496622,0.04013643234204907,-0.5395906230238124,20.02128193468216,-0.9977736064345157
2301130,八郎潟町大道（旧）＊,3957,14004,199711101200,201201051200.0,39.95,140.06666666666666,1997-11-10,2012-01-05,1919-01-01,2019-12-31,1997-11-10,2012-01-05,14.152241319123595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2301131,八郎潟町大道＊,3957,14004,201201051200,,39.95,140.06666666666666,2012-01-05,2019-12-31,1919-01-01,2019-12-31,2012-01-05,2019-12-31,7.986474739385477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2301430,井川町北川尻（旧）＊,3955,14005,199711101200,201711261200.0,39.916666666666664,140.08333333333334,1997-11-10,2017-11-26,1919-01-01,2019-12-31,1997-11-10,2017-11-26,20.044217198162865,369.0,165.0,18.409299617538586,18.409299617538586,231.0,111.0,11.524520898784319,11.524520898784319,50.0,23.0,2.4944850430269088,2.4944850430269088,13.0,7.0,0.6485661111869963,0.6485661111869963,1.0,1.0,0.04988970086053818,0.04988970086053818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024605249388975855,0.011800263065862146,0.056592073594644424,-0.6808639180087964,143.5738007223446,-0.9904414264933817
2301630,大潟村中央（旧）＊,4001,13958,199711101200,201711241200.0,40.016666666666666,139.96666666666667,1997-11-10,2017-11-24,1919-01-01,2019-12-31,1997-11-10,2017-11-24,20.03874138414889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2301730,潟上市昭和大久保＊,3952,14004,199711101200,,39.86666666666667,140.06666666666666,1997-11-10,2019-12-31,1919-01-01,2019-12-31,1997-11-10,2019-12-31,22.138716058509072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2301731,潟上市飯田川下虻川＊,3953,14004,199711101200,,39.88333333333333,140.06666666666666,1997-11-10,2019-12-31,1919-01-01,2019-12-31,1997-11-10,2019-12-31,22.138716058509072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2301732,潟上市天王（旧）＊,3953,13959,199711101200,201505061200.0,39.88333333333333,139.98333333333332,1997-11-10,2015-05-06,1919-01-01,2019-12-31,1997-11-10,2015-05-06,17.48427414662861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2301820,三種町ことおか中央公園＊,4002,14006,201301071200,,40.03333333333333,140.1,2013-01-07,2019-12-31,1919-01-01,2019-12-31,2013-01-07,2019-12-31,6.978924960813706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2301830,三種町鹿渡（旧）＊,4003,14005,199711101200,201309151200.0,40.05,140.08333333333334,1997-11-10,2013-09-15,1919-01-01,2019-12-31,1997-11-10,2013-09-15,15.847005756449482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2301831,三種町豊岡（旧）＊,4006,14004,199711101200,200811041200.0,40.1,140.06666666666666,1997-11-10,2008-11-04,1919-01-01,2019-12-31,1997-11-10,2008-11-04,10.984482912037892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2301832,三種町鵜川＊,4006,14000,199711101200,,40.1,140.0,1997-11-10,2019-12-31,1919-01-01,2019-12-31,1997-11-10,2019-12-31,22.138716058509072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2301833,三種町豊岡（旧２）＊,4006,14004,200811041200,202003191200.0,40.1,140.06666666666666,2008-11-04,2020-03-19,1919-01-01,2019-12-31,2008-11-04,2019-12-31,11.15423314647118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2301834,三種町鹿渡＊,4003,14005,201309151200,,40.05,140.08333333333334,2013-09-15,2019-12-31,1919-01-01,2019-12-31,2013-09-15,2019-12-31,6.291710302059591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2301920,八峰町八森木戸の沢＊,4023,13959,200606201200,,40.38333333333333,139.98333333333332,2006-06-20,2019-12-31,1919-01-01,2019-12-31,2006-06-20,2019-12-31,13.530736428537205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
