station,intensity,year,month,day,hour,minute,intensity_equip,acceleration_max_comb
6011637,2,2016,04,16,01,26,19,00039
6011637,2,2016,04,21,23,20,16,00157
6011637,1,2016,06,07,16,23,06,00109
6011637,1,2016,08,21,21,29,09,00107
6011637,1,2016,09,03,15,03,06,00052
6011637,2,2016,10,21,14,08,21,00087
6011637,3,2016,11,19,11,48,27,00393
6011637,1,2017,01,28,05,02,07,00044
6011637,1,2017,02,08,03,19,10,00067
6011637,1,2017,03,11,06,39,06,00062
6011637,1,2017,04,13,02,15,13,00110
6011637,1,2017,06,14,19,25,10,00051
6011637,1,2017,10,02,12,24,07,00061
6011637,1,2018,04,26,23,09,06,00130
6011637,2,2018,05,30,06,10,20,00323
6011637,2,2018,06,16,18,13,17,00161
6011637,1,2018,06,18,07,59,14,00054
6011637,3,2018,11,02,16,54,29,00489
6011637,1,2018,11,05,08,19,13,00108
6011637,2,2018,11,25,18,19,23,00358
6011637,1,2018,12,03,17,08,09,00051
6011637,2,2019,01,29,03,23,15,00154
6011637,1,2019,02,11,19,07,10,00111
6011637,3,2019,03,13,13,48,27,00541
6011637,1,2019,03,27,06,51,05,00046
6011637,1,2019,11,26,15,09,06,00030
