station,intensity,year,month,day,hour,minute,intensity_equip,acceleration_max_comb
3412830,1,2001,05,24,13,23,11,00041
3412830,1,2001,05,25,15,55,11,00033
3412830,2,2001,05,31,08,59,15,00093
3412830,2,2001,07,20,06,02,20,00172
3412830,2,2001,09,04,23,55,17,00054
3412830,2,2001,09,18,04,24,17,00084
3412830,1,2001,09,25,04,35,12,00056
3412830,1,2001,10,18,06,30,09,00046
3412830,2,2001,11,17,01,32,15,00069
3412830,2,2001,12,02,22,03,15,00039
3412830,1,2002,02,05,19,57,12,00031
3412830,1,2002,02,11,10,10,13,00037
3412830,2,2002,02,12,22,45,23,00107
3412830,3,2002,06,14,11,43,30,00445
3412830,2,2002,07,13,21,46,18,00096
3412830,2,2002,07,24,05,06,21,00065
3412830,2,2002,10,21,01,06,15,00042
3412830,2,2002,11,03,12,39,17,00043
3412830,1,2002,12,23,05,32,10,00051
3412830,1,2003,01,09,13,14,11,00037
3412830,1,2003,01,21,13,19,11,00030
3412830,1,2003,01,31,17,54,10,00037
3412830,2,2003,03,13,12,13,17,00107
3412830,1,2003,04,08,03,29,13,00029
3412830,1,2003,04,08,04,17,11,00057
3412830,1,2003,05,06,23,49,07,00046
3412830,2,2003,05,10,11,46,16,00066
3412830,3,2003,05,12,00,57,27,00185
3412830,2,2003,05,12,00,59,20,00135
3412830,2,2003,05,17,23,33,20,00080
3412830,3,2003,05,26,18,26,29,00174
3412830,1,2003,06,09,19,00,10,00036
3412830,2,2003,07,26,07,15,18,00047
3412830,2,2003,08,04,20,57,15,00113
3412830,2,2003,08,18,18,59,18,00075
3412830,3,2003,09,20,12,55,32,00289
3412830,2,2003,09,26,04,53,15,00034
3412830,3,2003,10,15,16,30,29,00333
3412830,2,2003,10,31,10,08,18,00047
3412830,3,2003,11,12,17,28,25,00122
3412830,3,2003,11,15,03,44,25,00173
3412830,1,2003,11,23,07,00,12,00029
3412830,2,2004,03,11,11,35,19,00087
3412830,3,2004,04,04,08,02,26,00142
3412830,1,2004,07,10,20,07,11,00043
3412830,2,2004,07,17,15,10,22,00102
3412830,3,2004,08,06,03,23,26,00190
3412830,1,2004,08,25,01,49,07,00030
3412830,2,2004,09,01,11,50,15,00038
3412830,2,2004,09,06,00,01,15,00045
3412830,3,2004,10,06,23,40,31,00209
3412830,2,2004,10,17,02,19,19,00064
3412830,2,2004,10,17,03,55,19,00067
3412830,3,2004,10,23,17,56,30,00254
3412830,2,2004,10,23,18,04,17,00048
3412830,2,2004,10,23,18,12,18,00066
3412830,3,2004,10,23,18,34,28,00154
3412830,1,2004,10,23,19,37,13,00030
3412830,1,2004,10,23,19,46,12,00032
3412830,1,2004,10,23,23,35,13,00041
3412830,1,2004,10,25,00,29,13,00034
3412830,1,2004,10,25,06,05,12,00029
3412830,2,2004,10,27,10,41,18,00059
3412830,1,2005,01,01,05,14,12,00039
3412830,2,2005,02,08,11,29,19,00079
3412830,3,2005,02,16,04,46,32,00438
3412830,1,2005,02,23,21,59,10,00040
3412830,2,2005,04,04,02,58,15,00040
3412830,3,2005,04,11,07,22,33,00278
3412830,1,2005,04,11,15,35,11,00032
3412830,1,2005,05,14,00,15,09,00042
3412830,1,2005,05,19,10,14,13,00026
3412830,2,2005,06,09,09,29,18,00073
3412830,1,2005,06,10,15,26,10,00040
3412830,3,2005,06,20,01,15,25,00122
3412830,1,2005,06,24,22,09,10,00035
3412830,4,2005,07,23,16,35,42,01024
3412830,2,2005,07,23,16,37,21,00117
3412830,1,2005,07,23,16,42,13,00054
3412830,2,2005,07,28,19,15,20,00159
3412830,2,2005,08,07,01,05,21,00101
3412830,2,2005,08,08,00,07,17,00062
3412830,3,2005,08,16,11,47,32,00224
3412830,2,2005,09,20,20,40,18,00078
3412830,2,2005,10,16,16,05,24,00139
