station,intensity,year,month,day,hour,minute,second,intensity_equip,acceleration_max_comb
3110130,1,2000,01,28,20,29,13. ,11,00053
3110130,1,2000,01,28,23,24,52. ,13,00036
3110130,1,2000,02,06,04,44,03. ,10,00028
3110130,1,2000,03,04,19,52,38. ,05,00040
3110130,1,2000,03,20,06,27,14. ,07,00033
3110130,2,2000,04,10,06,30,51. ,24,00263
3110130,1,2000,04,15,05,27,07. ,06,00043
3110130,2,2000,06,03,17,55,18. ,21,00125
3110130,1,2000,06,23,17,27,23. ,10,00050
3110130,1,2000,06,30,02,45,22. ,08,00045
3110130,1,2000,07,06,13,10,27. ,08,00034
3110130,1,2000,07,15,10,31,36. ,13,00028
3110130,3,2000,07,21,03,39,45. ,33,00380
3110130,2,2000,08,06,16,30,32. ,20,00082
3110130,1,2000,08,15,03,55,16. ,09,00070
3110130,1,2000,08,21,21,27,43. ,05,00031
3110130,1,2000,08,27,08,42,36. ,09,00046
3110130,2,2000,09,09,20,48,55. ,16,00146
3110130,1,2000,09,29,08,56,41. ,05,00030
3110130,1,2000,09,29,19,14,57. ,05,00043
3110130,1,2000,10,04,20,00,39. ,08,00053
3110130,1,2000,10,18,12,58,46. ,09,00039
3110130,1,2000,10,19,16,25,26. ,06,00034
3110130,1,2000,11,17,23,22,26. ,13,00097
3110130,1,2000,12,05,01,48,35. ,13,00030
3110130,1,2001,01,04,13,18,49. ,14,00070
3110130,1,2001,02,18,16,17,42. ,11,00067
3110130,2,2001,02,25,06,55,02. ,17,00069
3110130,2,2001,03,06,14,32,52. ,22,00238
3110130,2,2001,03,31,06,10,00. ,17,00070
3110130,1,2001,04,01,17,30,51. ,11,00034
3110130,1,2001,04,10,10,04,42. ,08,00035
3110130,1,2001,04,12,16,02,50. ,11,00038
3110130,1,2001,04,20,01,45,03. ,13,00093
3110130,1,2001,05,21,12,53,36. ,05,00038
3110130,2,2001,05,24,13,23,16. ,15,00067
3110130,2,2001,05,31,08,59,35. ,21,00174
3110130,1,2001,06,11,13,23,22. ,08,00041
3110130,1,2001,07,11,02,22,49. ,08,00049
3110130,3,2001,07,20,06,02,47. ,33,00556
3110130,2,2001,07,26,03,33,25. ,17,00087
3110130,2,2001,09,04,23,55,20. ,15,00061
3110130,2,2001,09,25,04,35,30. ,16,00112
3110130,2,2001,09,25,04,57,43. ,18,00144
3110130,1,2001,10,02,17,20,58. ,12,00045
3110130,2,2001,10,18,06,30,40. ,24,00363
3110130,1,2001,11,02,07,43,39. ,08,00067
3110130,1,2001,11,17,01,32,31. ,10,00046
3110130,1,2001,12,01,11,27,14. ,09,00046
3110130,2,2001,12,02,22,03,27. ,19,00073
3110130,1,2002,01,10,00,42,11. ,06,00030
3110130,2,2002,02,05,19,57,36. ,19,00127
3110130,3,2002,02,12,22,45,01. ,27,00352
3110130,2,2002,02,21,15,15,13. ,15,00157
3110130,2,2002,02,25,22,14,39. ,15,00089
3110130,2,2002,03,17,03,01,47. ,15,00113
3110130,1,2002,05,19,05,00,50. ,12,00051
3110130,2,2002,05,25,09,37,58. ,15,00110
3110130,3,2002,06,14,11,43,01. ,28,00307
3110130,3,2002,07,13,21,46,02. ,25,00256
3110130,2,2002,07,24,05,06,42. ,21,00082
3110130,1,2002,07,27,17,59,28. ,10,00069
3110130,2,2002,09,07,06,57,45. ,15,00130
3110130,1,2002,10,16,17,24,46. ,06,00072
3110130,1,2002,10,21,01,06,42. ,14,00064
3110130,2,2002,11,03,12,39,16. ,18,00049
3110130,1,2002,12,23,05,32,07. ,10,00056
3110130,1,2003,01,09,13,15,01. ,09,00039
3110130,1,2003,01,21,13,20,04. ,09,00034
3110130,2,2003,01,31,17,53,57. ,20,00148
3110130,1,2003,02,14,10,55,13. ,06,00034
3110130,2,2003,02,16,12,04,39. ,16,00093
3110130,1,2003,03,03,07,48,02. ,10,00026
3110130,3,2003,03,13,12,13,08. ,33,00592
3110130,2,2003,04,08,04,17,37. ,23,00248
3110130,1,2003,04,21,10,19,08. ,13,00056
3110130,1,2003,04,24,10,22,59. ,09,00097
3110130,1,2003,04,25,07,41,10. ,07,00029
3110130,2,2003,05,06,23,48,56. ,15,00134
3110130,1,2003,05,10,11,46,21. ,10,00048
3110130,2,2003,05,12,00,57,21. ,23,00226
3110130,2,2003,05,12,00,59,32. ,20,00155
3110130,2,2003,05,17,23,33,50. ,15,00042
3110130,3,2003,05,26,18,25,24. ,28,00191
3110130,1,2003,05,31,02,47,26. ,05,00035
3110130,1,2003,06,03,17,22,11. ,07,00053
3110130,1,2003,06,09,19,00,09. ,13,00055
3110130,2,2003,06,16,18,34,50. ,19,00115
3110130,1,2003,07,26,07,14,41. ,13,00034
3110130,2,2003,08,04,20,57,18. ,23,00281
3110130,2,2003,08,18,18,59,50. ,16,00087
3110130,1,2003,09,16,17,43,45. ,09,00054
3110130,3,2003,09,20,12,55,21. ,27,00164
3110130,1,2003,09,26,04,53,09. ,14,00035
3110130,1,2003,10,02,13,04,10. ,07,00043
3110130,2,2003,10,15,16,30,49. ,21,00123
3110130,2,2003,10,31,10,07,56. ,17,00044
3110130,2,2003,11,12,17,28,33. ,22,00148
3110130,2,2003,11,15,03,44,13. ,22,00136
3110130,1,2003,11,17,13,33,48. ,08,00062
3110130,2,2004,01,23,18,02,18. ,16,00073
3110130,1,2004,01,27,02,43,54. ,06,00042
3110130,2,2004,02,04,04,11,15. ,18,00143
3110130,2,2004,04,04,08,02,31. ,22,00158
3110130,1,2004,04,05,02,39,48. ,09,00056
3110130,1,2004,05,28,09,00,27. ,07,00069
3110130,2,2004,05,29,12,48,24. ,16,00047
3110130,3,2004,07,10,20,07,17. ,25,00306
3110130,2,2004,07,17,15,11,09. ,16,00048
3110130,1,2004,08,06,03,24,00. ,14,00061
3110130,1,2004,08,19,20,41,33. ,12,00043
3110130,2,2004,09,01,11,50,23. ,17,00061
3110130,3,2004,10,06,23,40,55. ,32,00350
3110130,2,2004,10,07,22,02,05. ,15,00077
3110130,1,2004,10,11,10,39,54. ,07,00050
3110130,1,2004,10,17,02,20,05. ,14,00043
3110130,2,2004,10,17,03,55,30. ,17,00060
3110130,1,2004,10,22,04,39,47. ,11,00035
3110130,3,2004,10,23,17,56,22. ,32,00505
3110130,2,2004,10,23,18,00,13. ,15,00057
3110130,3,2004,10,23,18,03,35. ,27,00152
3110130,1,2004,10,23,18,08,08. ,13,00052
3110130,3,2004,10,23,18,12,19. ,28,00246
3110130,4,2004,10,23,18,34,27. ,37,00721
3110130,1,2004,10,23,18,37,25. ,13,00039
3110130,1,2004,10,23,18,57,59. ,11,00038
3110130,1,2004,10,23,19,37,22. ,12,00027
3110130,2,2004,10,23,19,46,32. ,19,00069
3110130,1,2004,10,23,19,47,30. ,12,00046
3110130,3,2004,10,23,23,35,09. ,27,00221
3110130,2,2004,10,25,00,28,41. ,15,00050
3110130,3,2004,10,25,06,05,19. ,26,00157
3110130,3,2004,10,27,10,41,11. ,29,00330
3110130,1,2004,11,01,04,36,24. ,10,00038
3110130,2,2004,11,04,08,58,08. ,15,00050
3110130,1,2004,11,06,10,25,44. ,06,00034
3110130,2,2004,11,08,11,16,35. ,19,00063
3110130,1,2004,11,09,04,16,39. ,10,00025
3110130,2,2005,01,01,05,14,30. ,19,00143
3110130,3,2005,02,08,11,29,44. ,26,00407
3110130,3,2005,02,16,04,46,47. ,27,00578
3110130,3,2005,02,23,21,59,03. ,29,00573
3110130,1,2005,02,25,06,31,11. ,08,00033
3110130,1,2005,03,12,12,20,33. ,05,00032
3110130,1,2005,04,04,02,58,09. ,14,00054
