station,intensity,year,month,day,hour,minute,second,intensity_equip,acceleration_max_comb
5900039,1,2011,02,07,00,36,19. ,07,00106
5900039,3,2011,06,04,01,57,36. ,34,00852
5900039,1,2011,06,04,02,03,28. ,13,00095
5900039,1,2011,06,11,07,18,59. ,10,00077
5900039,2,2011,06,16,23,32,26. ,17,00122
5900039,1,2011,06,17,19,29,10. ,07,00058
5900039,1,2011,07,12,05,19,13. ,06,00129
5900039,1,2011,11,14,15,53,12. ,06,00049
5900039,A,2011,11,21,19,16,31. ,45,03473
5900039,1,2011,11,21,19,19,30. ,08,00106
5900039,1,2011,11,21,19,31,36. ,08,00129
5900039,1,2011,11,22,02,41,02. ,07,00107
5900039,1,2011,11,22,06,33,49. ,13,00306
5900039,1,2011,11,23,05,07,31. ,06,00064
5900039,2,2011,11,24,01,05,48. ,16,00247
5900039,4,2011,11,25,04,35,29. ,36,01436
5900039,1,2011,11,25,04,50,37. ,05,00123
5900039,3,2011,11,25,04,52,30. ,28,00632
5900039,1,2011,11,26,01,45,31. ,07,00065
5900039,1,2012,01,01,19,47,25. ,08,00088
5900039,1,2012,09,08,10,41,51. ,07,00030
5900039,1,2012,10,14,15,34,23. ,05,00032
5900039,1,2012,12,22,15,16,13. ,07,00038
5900039,2,2013,04,13,05,33,49. ,15,00068
5900039,1,2013,04,14,09,29,32. ,10,00117
5900039,3,2014,03,14,02,07,16. ,30,00499
5900039,1,2014,04,24,02,59,41. ,06,00096
5900039,1,2014,05,21,16,47,27. ,11,00178
5900039,1,2014,09,09,05,07,16. ,07,00041
5900039,1,2015,01,21,03,14,22. ,05,00141
5900039,1,2015,04,26,06,17,04. ,10,00130
5900039,1,2015,06,18,10,06,45. ,05,00087
5900039,1,2015,07,13,02,53,01. ,07,00029
5900039,1,2015,09,13,00,18,17. ,10,00131
5900039,1,2016,01,21,07,14,16. ,10,00049
5900039,1,2016,06,20,09,08,38. ,12,00078
5900039,1,2016,07,26,17,27,11. ,05,00041
5900039,2,2016,08,23,12,27,36. ,16,00252
5900039,3,2016,10,21,14,07,41. ,27,00375
5900039,1,2016,10,21,14,30,37. ,05,00030
5900039,1,2016,10,21,14,50,52. ,05,00028
5900039,1,2016,10,21,14,53,40. ,10,00054
5900039,4,2018,04,09,01,32,38. ,35,00717
5900039,1,2018,04,09,01,44,01. ,10,00058
5900039,2,2018,04,09,01,56,54. ,15,00109
5900039,1,2018,04,09,02,03,58. ,05,00053
5900039,2,2018,04,09,02,11,03. ,20,00171
5900039,1,2018,04,09,02,30,41. ,11,00054
5900039,2,2018,04,09,05,05,50. ,17,00162
5900039,1,2018,04,23,01,01,57. ,14,00101
5900039,1,2018,05,28,06,11,37. ,08,00070
5900039,4,2018,06,26,17,00,12. ,41,02682
5900039,1,2018,06,27,01,07,52. ,08,00304
5900039,1,2018,06,28,02,45,18. ,09,00102
5900039,1,2019,11,26,15,09,29. ,06,00048
5900039,1,2020,03,13,17,33,22. ,07,00039
5900039,1,2021,02,21,00,06,52. ,10,00157
5900039,1,2021,04,18,05,14,38. ,07,00056
5900039,1,2021,07,17,20,50,35. ,08,00046
5900039,1,2021,07,18,14,36,27. ,12,00077
5900039,2,2021,08,02,09,37,31. ,15,00130
5900039,2,2021,08,18,01,31,07. ,17,00136
5900039,1,2021,12,03,09,29,27. ,08,00028
