station,intensity,year,month,day,hour,minute,second,intensity_equip,acceleration_max_comb
4322931,1,2011,07,24,23,32,57. ,05,00026
4322931,2,2011,08,01,23,58,45. ,19,00045
4322931,2,2011,11,10,18,56,04. ,18,00168
4322931,1,2011,11,18,03,58,08. ,09,00039
4322931,3,2011,12,14,13,01,19. ,27,00458
4322931,1,2011,12,14,23,19,09. ,06,00226
4322931,1,2012,01,15,07,12,57. ,10,00069
4322931,3,2012,05,05,18,57,03. ,28,00521
4322931,1,2012,12,07,17,21,10. ,13,00018
4322931,1,2013,02,06,13,42,19. ,14,00126
4322931,1,2013,02,15,18,19,29. ,07,00034
4322931,2,2013,04,13,05,34,14. ,16,00043
4322931,2,2013,07,17,20,32,11. ,17,00145
4322931,1,2013,08,03,09,56,38. ,06,00022
4322931,1,2014,03,14,02,08,44. ,13,00038
4322931,2,2014,04,06,01,24,33. ,18,00280
4322931,1,2014,08,06,01,17,56. ,05,00029
4322931,1,2014,09,14,15,57,48. ,12,00101
4322931,1,2014,09,16,12,29,48. ,06,00012
4322931,1,2014,11,22,22,09,12. ,11,00016
4322931,1,2014,11,23,19,22,00. ,09,00084
4322931,2,2014,12,03,23,20,00. ,15,00140
4322931,3,2015,03,04,00,04,27. ,34,01138
