station,intensity,year,month,day,hour,minute,second,intensity_equip,acceleration_max_comb
8040636,1,2011,05,21,06,18,26. ,06,00055
8040636,1,2011,06,09,09,12,32. ,09,00040
8040636,1,2011,07,13,16,20,08. ,08,00065
8040636,1,2011,08,27,13,50,27. ,11,00115
8040636,1,2011,09,14,16,31,42. ,09,00147
8040636,2,2011,10,17,09,10,38. ,15,00222
8040636,1,2011,10,22,18,28,23. ,13,00120
8040636,1,2011,10,30,12,24,58. ,08,00042
8040636,1,2011,11,06,19,44,43. ,05,00063
8040636,3,2011,11,08,11,59,56. ,27,00286
8040636,1,2011,12,25,22,15,39. ,09,00139
8040636,1,2012,01,15,06,20,17. ,06,00066
8040636,2,2012,02,01,16,44,39. ,24,00472
8040636,2,2012,05,15,06,21,52. ,15,00159
8040636,1,2012,08,08,16,11,26. ,10,00062
8040636,2,2012,08,31,20,14,50. ,17,00391
8040636,1,2012,10,05,17,14,14. ,10,00053
8040636,3,2012,11,27,07,24,27. ,26,00445
8040636,1,2012,11,27,20,27,52. ,12,00144
8040636,1,2012,12,24,06,52,06. ,10,00100
8040636,2,2013,02,19,01,02,06. ,22,00345
8040636,1,2013,04,15,04,30,18. ,13,00174
8040636,1,2013,05,01,10,44,05. ,05,00081
8040636,1,2013,05,21,17,26,52. ,12,00030
8040636,3,2013,05,26,06,17,07. ,34,02963
8040636,1,2013,10,19,09,46,39. ,14,00137
8040636,3,2013,11,02,18,36,26. ,28,00897
8040636,1,2013,12,03,18,10,57. ,08,00134
8040636,3,2013,12,14,01,03,12. ,25,00804
8040636,3,2014,02,06,20,32,34. ,29,00501
8040636,2,2014,06,18,11,47,24. ,17,00072
8040636,3,2014,09,18,08,19,03. ,34,00599
8040636,1,2014,09,18,08,31,31. ,06,00042
8040636,1,2014,09,27,05,40,58. ,06,00070
8040636,1,2014,09,27,22,36,01. ,05,00059
8040636,1,2014,09,30,00,48,58. ,12,00173
8040636,2,2014,12,11,06,04,36. ,17,00099
8040636,1,2015,01,16,16,48,16. ,14,00143
8040636,2,2015,02,24,16,25,19. ,16,00134
8040636,2,2015,03,06,08,59,43. ,21,00296
8040636,3,2015,03,14,22,48,35. ,27,00469
8040636,1,2015,06,08,18,15,23. ,08,00070
8040636,1,2015,07,16,07,47,35. ,06,00085
8040636,1,2015,08,11,12,31,51. ,13,00116
8040636,1,2016,05,30,00,31,40. ,06,00034
8040636,2,2016,05,31,14,24,40. ,19,00134
8040636,1,2016,06,10,10,58,07. ,06,00058
8040636,1,2016,07,17,17,59,58. ,05,00042
8040636,1,2016,08,29,10,42,31. ,05,00045
8040636,3,2016,09,07,00,22,59. ,25,00550
8040636,1,2016,10,29,06,58,11. ,10,00035
8040636,1,2016,11,23,02,53,25. ,12,00087
8040636,2,2016,12,08,12,18,24. ,21,00146
8040636,1,2017,01,21,00,16,15. ,12,00123
8040636,2,2017,02,17,10,18,13. ,21,00275
8040636,2,2017,05,09,10,54,41. ,23,00117
8040636,1,2017,05,10,04,16,13. ,11,00083
8040636,3,2017,05,12,05,54,35. ,26,00500
8040636,1,2017,06,30,23,04,23. ,13,00066
8040636,1,2017,12,22,06,05,43. ,08,00042
8040636,1,2017,12,31,07,26,32. ,06,00082
8040636,1,2018,03,01,22,43,16. ,12,00031
8040636,1,2018,06,07,14,39,01. ,11,00065
8040636,2,2018,08,01,07,21,41. ,15,00225
8040636,1,2018,09,09,10,55,06. ,12,00221
8040636,1,2018,11,19,08,02,25. ,08,00052
8040636,2,2018,11,24,01,29,18. ,16,00203
8040636,1,2018,12,30,11,39,26. ,11,00145
8040636,1,2019,01,18,07,01,05. ,07,00061
8040636,1,2019,05,08,08,24,39. ,14,00129
8040636,1,2020,03,24,02,08,00. ,12,00139
8040636,1,2020,03,24,10,09,25. ,05,00059
8040636,2,2020,04,02,19,08,41. ,24,00447
8040636,3,2020,05,27,18,19,59. ,32,00586
8040636,1,2020,06,10,07,07,08. ,10,00145
8040636,3,2020,06,19,07,25,20. ,27,00502
8040636,2,2020,06,29,11,37,42. ,16,00126
8040636,2,2020,07,20,14,25,24. ,15,00090
8040636,1,2020,07,29,22,58,30. ,05,00081
8040636,3,2020,09,27,15,38,26. ,27,00565
8040636,1,2020,09,27,15,40,22. ,06,00124
8040636,2,2020,11,13,09,42,17. ,15,00154
8040636,2,2020,12,11,18,48,54. ,15,00080
8040636,1,2021,01,03,13,03,46. ,06,00086
8040636,1,2021,01,15,01,28,55. ,07,00041
8040636,1,2021,02,18,19,09,39. ,05,00040
8040636,2,2021,03,27,07,02,45. ,20,00093
8040636,1,2021,04,10,03,40,05. ,08,00057
8040636,1,2021,05,03,14,08,07. ,14,00075
8040636,1,2021,05,25,16,52,54. ,07,00074
8040636,1,2021,08,01,12,18,47. ,14,00296
8040636,2,2021,10,06,02,31,01. ,15,00059
8040636,1,2021,10,06,03,04,16. ,12,00041
8040636,3,2021,11,11,00,45,42. ,25,00171
8040636,3,2021,12,26,17,26,58. ,27,00336
8040636,1,2021,12,26,18,17,21. ,10,00033
