station,intensity,year,month,day,hour,minute,second,intensity_equip,acceleration_max_comb
1210531,2,2011,06,23,06,52,35. ,21,00049
1210531,1,2011,07,10,09,59,45. ,13,00026
1210531,1,2011,11,24,19,26,35. ,13,00029
1210531,2,2012,03,14,18,10,17. ,15,00042
1210531,1,2012,05,24,00,03,29. ,11,00034
1210531,2,2012,08,25,23,16,51. ,24,00115
1210531,2,2012,12,07,17,20,54. ,24,00106
1210531,3,2013,02,02,23,18,02. ,29,00155
1210531,1,2013,10,26,02,13,20. ,12,00026
1210531,3,2016,01,14,12,26,06. ,28,00155
1210531,2,2017,07,01,23,46,14. ,16,00071
1210531,2,2017,09,10,17,45,22. ,16,00044
1210531,1,2018,01,24,19,52,46. ,14,00025
1210531,4,2018,09,06,03,08,18. ,39,00809
1210531,2,2018,09,06,03,10,10. ,17,00027
1210531,1,2018,09,06,03,24,13. ,07,00035
1210531,2,2018,09,06,06,11,54. ,18,00087
1210531,1,2018,09,09,22,55,36. ,13,00092
1210531,2,2018,09,17,23,42,15. ,16,00156
1210531,2,2018,09,30,17,54,33. ,15,00084
1210531,1,2018,10,01,11,22,26. ,12,00060
1210531,1,2018,10,05,08,59,18. ,11,00043
1210531,1,2018,11,14,19,07,56. ,09,00032
1210531,1,2018,12,30,04,09,17. ,13,00034
1210531,3,2019,02,21,21,22,54. ,25,00179
1210531,2,2019,04,28,02,25,26. ,19,00061
1210531,1,2020,05,31,03,14,40. ,13,00044
