station,intensity,year,month,day,hour,minute,second,intensity_equip,acceleration_max_comb
3721331,1,2011,06,02,11,34,25. ,08,00023
3721331,1,2011,06,04,01,01,12. ,11,00025
3721331,1,2011,06,18,20,32,01. ,11,00019
3721331,2,2011,06,23,06,52,35. ,18,00045
3721331,2,2011,07,10,09,58,20. ,15,00026
3721331,2,2011,07,25,03,52,00. ,18,00035
3721331,2,2011,07,31,03,54,37. ,17,00040
3721331,2,2011,08,12,03,22,48. ,16,00033
3721331,2,2011,08,19,14,37,11. ,21,00044
3721331,1,2011,10,10,11,46,47. ,09,00016
3721331,1,2011,11,26,09,06,15. ,13,00110
3721331,1,2012,01,01,14,30,50. ,10,00015
3721331,1,2012,01,12,12,21,40. ,13,00027
3721331,3,2012,02,08,21,01,56. ,26,00185
3721331,2,2012,03,27,20,01,50. ,19,00036
3721331,1,2012,04,01,23,05,10. ,09,00018
3721331,1,2012,04,12,23,51,52. ,13,00022
3721331,1,2012,04,13,19,10,58. ,12,00022
3721331,1,2012,06,26,08,24,03. ,06,00042
3721331,1,2012,07,10,12,49,42. ,11,00029
3721331,1,2012,08,30,04,06,10. ,10,00019
3721331,1,2012,11,24,05,22,30. ,07,00017
3721331,2,2012,12,07,17,20,20. ,23,00062
3721331,2,2013,02,25,16,24,19. ,19,00063
3721331,1,2013,05,18,14,48,50. ,13,00021
3721331,1,2013,07,23,12,02,59. ,08,00018
3721331,1,2013,08,04,12,29,44. ,13,00027
3721331,1,2013,09,20,02,25,54. ,06,00015
3721331,1,2013,10,26,02,12,30. ,13,00026
3721331,1,2014,04,08,05,08,13. ,14,00108
3721331,1,2014,06,16,05,15,30. ,11,00020
3721331,2,2014,07,12,04,23,00. ,20,00046
3721331,1,2014,09,03,16,24,57. ,10,00026
3721331,1,2014,09,16,12,29,36. ,07,00013
3721331,3,2014,11,22,22,08,54. ,27,00107
3721331,2,2015,02,17,08,08,23. ,17,00027
3721331,2,2015,05,13,06,14,00. ,16,00041
3721331,2,2015,05,30,20,27,21. ,18,00033
3721331,2,2015,10,21,15,05,40. ,17,00034
3721331,1,2016,06,27,13,35,55. ,12,00070
3721331,1,2016,06,27,13,36,50. ,11,00041
3721331,3,2016,11,22,06,00,31. ,29,00139
3721331,1,2016,11,22,06,40,40. ,08,00014
3721331,1,2016,11,22,23,05,00. ,11,00015
3721331,1,2016,11,24,06,24,30. ,13,00022
3721331,1,2016,12,28,21,39,43. ,14,00032
3721331,1,2017,02,28,16,49,40. ,12,00020
3721331,1,2017,08,02,02,02,59. ,07,00019
3721331,1,2017,09,27,05,24,00. ,08,00012
3721331,1,2017,10,06,23,57,20. ,14,00023
3721331,1,2018,05,25,21,14,22. ,11,00034
3721331,2,2018,07,31,17,43,17. ,17,00052
3721331,4,2019,06,18,22,22,35. ,37,00656
3721331,2,2019,08,04,19,23,40. ,17,00029
3721331,1,2019,08,18,19,07,02. ,05,00024
3721331,1,2020,02,12,19,38,14. ,08,00015
3721331,1,2020,03,13,02,19,54. ,09,00016
3721331,1,2020,04,20,05,40,20. ,09,00013
3721331,1,2020,09,12,11,45,20. ,10,00014
3721331,1,2020,12,21,02,25,24. ,10,00012
3721331,3,2021,02,13,23,08,27. ,34,00265
3721331,2,2021,03,20,18,10,20. ,24,00103
3721331,2,2021,05,01,10,28,00. ,19,00044
3721331,1,2021,05,14,08,59,10. ,10,00016
3721331,1,2021,09,02,22,42,21. ,06,00043
3721331,1,2021,09,16,18,43,21. ,10,00021
3721331,1,2021,10,07,22,42,40. ,10,00015
