station,intensity,year,month,day,hour,minute,second,intensity_equip,acceleration_max_comb
5810230,1,1998,04,22,20,33,58. ,11,00027
5810230,2,1998,05,23,04,50,07. ,24,00147
5810230,1,1999,03,16,16,44,31. ,13,00032
5810230,1,1999,07,15,19,26,18. ,05,00023
5810230,2,1999,07,16,02,59,21. ,21,00170
5810230,3,1999,08,21,05,33,35. ,31,00253
5810230,2,1999,10,30,06,26,02. ,21,00263
5810230,1,1999,11,07,03,35,10. ,08,00020
5810230,1,1999,12,22,08,17,24. ,07,00071
5810230,1,2000,06,06,23,59,24. ,05,/////
5810230,1,2000,06,07,06,17,57. ,13,00036
5810230,1,2000,06,10,08,33,19. ,06,/////
5810230,1,2000,07,26,16,24,44. ,12,00039
5810230,1,2000,09,07,14,52,27. ,05,00018
5810230,A,2000,10,06,13,30,36. ,49,01268
5810230,1,2000,10,06,13,33,30. ,07,00029
5810230,2,2000,10,06,13,36,29. ,18,00127
5810230,1,2000,10,06,13,52,01. ,06,00045
5810230,1,2000,10,06,14,36,29. ,10,00044
5810230,1,2000,10,06,14,53,19. ,11,/////
5810230,1,2000,10,06,15,06,54. ,09,00051
5810230,1,2000,10,06,16,22,22. ,07,00029
5810230,1,2000,10,06,19,57,52. ,05,00029
5810230,1,2000,10,06,22,57,17. ,05,00032
5810230,1,2000,10,06,23,13,53. ,10,00042
5810230,2,2000,10,07,04,59,48. ,17,/////
5810230,1,2000,10,07,06,38,44. ,07,00026
5810230,1,2000,10,07,12,04,24. ,09,00038
5810230,2,2000,10,08,13,18,13. ,15,/////
5810230,2,2000,10,08,20,51,37. ,16,00074
5810230,1,2000,10,10,21,58,24. ,11,00035
5810230,1,2000,10,17,22,17,15. ,12,00078
5810230,1,2000,10,31,01,43,40. ,13,/////
5810230,1,2000,11,03,16,34,16. ,11,/////
5810230,1,2000,12,07,23,10,03. ,10,00043
5810230,1,2001,01,09,13,38,25. ,14,00048
5810230,3,2001,01,12,08,00,25. ,26,00186
5810230,1,2001,01,14,08,55,42. ,05,00025
5810230,1,2001,01,15,23,21,11. ,07,00021
5810230,1,2001,01,20,05,18,11. ,05,00016
5810230,1,2001,01,20,05,20,25. ,13,00035
5810230,1,2001,01,20,05,27,36. ,07,00018
5810230,1,2001,01,20,06,26,13. ,05,00021
5810230,1,2001,01,20,07,24,26. ,09,00025
5810230,1,2001,01,24,00,04,22. ,11,00039
5810230,1,2001,01,25,19,45,46. ,12,00055
5810230,2,2001,02,08,14,12,13. ,17,00083
5810230,1,2001,02,11,09,17,54. ,10,00040
5810230,1,2001,02,16,02,19,40. ,06,00022
5810230,4,2001,03,24,15,28,14. ,44,01118
5810230,1,2001,03,25,19,19,35. ,11,00060
5810230,1,2001,03,26,02,16,28. ,06,00047
5810230,2,2001,03,26,05,41,13. ,17,00083
5810230,1,2001,04,03,21,15,23. ,08,00035
5810230,2,2001,04,25,23,40,58. ,17,00052
5810230,2,2001,08,25,22,22,04. ,20,00080
5810230,1,2001,10,02,21,15,12. ,12,00023
5810230,2,2002,01,24,16,08,58. ,17,00051
5810230,2,2002,03,06,07,12,58. ,17,00131
5810230,1,2002,03,11,15,54,31. ,09,00024
5810230,2,2002,03,25,22,58,41. ,18,00082
5810230,1,2002,04,06,01,57,50. ,09,00024
5810230,1,2002,09,04,17,04,52. ,06,00092
5810230,2,2002,09,16,10,11,07. ,23,00154
5810230,2,2002,10,13,19,07,18. ,19,00063
5810230,2,2002,11,04,13,37,13. ,22,00058
5810230,2,2003,08,14,23,46,11. ,17,00073
5810230,1,2003,08,31,10,41,54. ,06,00035
5810230,2,2003,12,13,12,32,40. ,24,00354
5810230,1,2003,12,13,22,08,12. ,06,00042
5810230,1,2004,01,06,14,51,54. ,08,00017
