station,intensity,year,month,day,hour,minute,intensity_equip,acceleration_max_comb
3570100,2,2012,12,07,17,20,24,00166
3570100,1,2013,02,10,21,21,07,00050
3570100,1,2013,03,02,01,35,11,00079
3570100,1,2013,04,17,10,15,08,00050
3570100,1,2013,04,17,11,14,08,00040
3570100,1,2013,04,17,11,16,06,00039
3570100,1,2013,04,17,12,22,11,00067
3570100,1,2013,04,17,17,55,07,00043
3570100,4,2013,04,17,17,57,37,01029
3570100,1,2013,04,17,17,59,11,00078
3570100,1,2013,05,29,04,24,12,00051
3570100,1,2013,06,05,08,00,05,00037
3570100,2,2013,09,04,09,20,16,00041
3570100,2,2013,10,26,02,12,19,00105
3570100,1,2013,11,10,07,38,06,00025
3570100,1,2013,11,16,20,45,09,00041
3570100,2,2014,01,05,23,28,15,00119
3570100,3,2014,02,11,04,14,30,00397
3570100,1,2014,04,22,20,47,08,00028
3570100,2,2014,05,05,05,18,19,00144
3570100,2,2014,06,17,02,42,17,00087
3570100,1,2014,07,12,04,23,05,00020
3570100,1,2014,08,12,09,47,07,00032
3570100,1,2014,09,16,12,29,06,00029
3570100,1,2014,10,16,08,54,07,00020
3570100,1,2014,11,12,20,05,06,00038
3570100,2,2015,04,25,15,36,15,00089
3570100,1,2015,05,25,14,29,06,00023
3570100,3,2015,05,30,20,25,25,00107
3570100,1,2015,07,22,13,51,09,00043
3570100,1,2015,09,04,04,52,09,00039
3570100,2,2015,09,12,05,49,15,00093
3570100,1,2016,04,02,15,12,06,00044
3570100,1,2016,05,16,21,23,05,00026
3570100,1,2016,05,28,18,01,10,00047
3570100,1,2016,07,11,15,22,06,00026
3570100,1,2016,07,14,11,17,08,00030
3570100,1,2016,08,14,05,15,14,00081
3570100,1,2016,10,12,08,05,12,00080
3570100,1,2016,11,22,06,01,05,00016
3570100,2,2016,11,23,03,45,16,00107
3570100,1,2017,04,18,02,39,07,00033
3570100,1,2017,05,06,23,23,07,00055
3570100,1,2017,08,14,18,12,05,00020
3570100,1,2017,08,16,14,17,10,00063
3570100,2,2017,11,16,18,44,15,00083
3570100,1,2017,12,15,11,43,05,00024
3570100,1,2018,03,03,07,36,09,00055
3570100,1,2018,03,25,23,37,13,00084
3570100,2,2018,07,07,20,24,19,00105
3570100,1,2018,11,14,13,10,12,00064
3570100,1,2018,12,04,15,06,14,00085
3570100,1,2019,01,08,01,36,05,00039
3570100,2,2019,06,24,09,12,21,00158
3570100,1,2019,07,25,07,14,08,00034
3570100,1,2019,07,28,03,33,07,00027
3570100,2,2019,07,30,05,38,22,00179
3570100,2,2019,10,12,18,22,19,00133
