station,intensity,year,month,day,hour,minute,intensity_equip,acceleration_max_comb
7501633,1,2012,01,30,03,18,14,00052
7501633,1,2012,04,02,16,39,11,00080
7501633,1,2012,05,25,04,43,07,00036
7501633,1,2012,12,22,15,15,13,00116
7501633,4,2014,03,14,02,07,43,01596
7501633,2,2014,03,22,20,05,17,00128
7501633,1,2014,05,21,10,11,11,00077
7501633,1,2014,08,03,01,10,07,00060
7501633,2,2014,11,01,19,36,15,00118
7501633,3,2015,07,13,02,52,31,00520
7501633,1,2015,08,21,16,54,07,00047
7501633,1,2016,04,14,21,27,13,00042
7501633,3,2016,04,16,01,25,28,00282
7501633,1,2016,04,16,01,46,09,00036
7501633,1,2016,04,16,02,49,06,00048
7501633,1,2016,04,16,03,56,07,00037
7501633,2,2016,04,16,07,11,15,00092
7501633,1,2016,04,18,17,02,06,00050
7501633,1,2016,04,18,20,42,08,00036
7501633,1,2016,04,20,14,27,11,00057
7501633,2,2016,07,01,14,40,15,00187
7501633,1,2016,08,15,13,36,12,00078
7501633,1,2016,10,22,03,34,12,00067
7501633,1,2017,06,20,23,28,13,00061
7501633,1,2018,01,09,05,52,14,00094
7501633,2,2018,02,19,03,32,16,00078
