3580070 280543133 1 // ///// ///// N///// E///// Z/////                                         
A1958012909163339 047 370691 091 1422554 240 46     54J   5212  2 69福島県沖                  3K
2500000 ///////// 2 // ///// ///// N///// E///// Z/////                                         
2500200 ///////// 2 // ///// ///// N///// E///// Z/////                                         
2220100 ///////// 1 // ///// ///// N///// E///// Z/////                                         
A195801291737     99  2447   99  12517   99   0            8 3      詳細不明                  1N
8040600 ///////// 3 // ///// ///// N///// E///// Z/////                                         
A195801301424     99  3501   99  13544   99   0            8 1      詳細不明                  1N
5110300 301424000 1 // ///// ///// N///// E///// Z/////                                         
A195801310021     99  3501   99  13544   99   0            8 2      詳細不明                  1N
5110300 310021000 2 // ///// ///// N///// E///// Z/////                                         
A195802010919     99  2423   99  12345   99   0            8 2      詳細不明                  1N
8070070 ///////// 2 // ///// ///// N///// E///// Z/////                                         
A1958020304161947 024 340738 096 1352181 095  0           5211  5189和歌山県北部              1K
5500000 030416000 1 // ///// ///// N///// E///// Z/////                                         
A19580203055308       2730       127        200            212  7287沖縄本島北西沖            1I
7790300 030555    2 // ///// ///// N///// E///// Z/////                                         
A1958020514444513 020 361826 051 1410558 114 385124241J   5112  3111茨城県沖                  6K
3000000 051444559 2 // ///// ///// N///// E///// Z/////                                         
3011170 051445000 2 // ///// ///// N///// E///// Z/////                                         
3011171 051445    2 // ///// ///// N///// E///// Z/////                                         
2500200 ///////// 1 // ///// ///// N///// E///// Z/////                                         
3010200 051444593 1 // ///// ///// N///// E///// Z/////                                         
3100000 051445000 1 // ///// ///// N///// E///// Z/////                                         
A1958020601453152 061 430814 291 1453589 389 68           5211  1 27根室半島南東沖            2K
1610000 ///////// 1 // ///// ///// N///// E///// Z/////                                         
1670000 ///////// 1 // ///// ///// N///// E///// Z/////                                         
A19580206104209       2430       12230                      13  7289与那国島近海              3I
8060000 ///////// 3 // ///// ///// N///// E///// Z/////                                         
8070070 ///////// 3 // ///// ///// N///// E///// Z/////                                         
8050000 ///////// 1 // ///// ///// N///// E///// Z/////                                         
A195802061225     99  2447   99  12517   99   0            8 3      詳細不明                  1N
8040600 ///////// 3 // ///// ///// N///// E///// Z/////                                         
A195802062349     99  3133   99  13033   99   0            8 2      詳細不明                  1N
7700000 062349    2 // ///// ///// N///// E///// Z/////                                         
A1958020715595402 161 263834 782 1295262 853 11           5213  7294沖縄本島近海              2K
7780900 ///////// 3 // ///// ///// N///// E///// Z/////                                         
7790300 ///////// 3 // ///// ///// N///// E///// Z/////                                         
A1958020800570664 027 360706 186 1400825 234 99     46D   5213  3 88茨城県南部               10K
3010200 080057197 3 // ///// ///// N///// E///// Z/////                                         
3011170 080057000 3 // ///// ///// N///// E///// Z/////                                         
3100071 080057000 3 // ///// ///// N///// E///// Z/////                                         
3110000 080057219 3 // ///// ///// N///// E///// Z/////                                         
3200070 080058    3 // ///// ///// N///// E///// Z/////                                         
3100000 080057000 2 // ///// ///// N///// E///// Z/////                                         
3210000 080057258 1 // ///// ///// N///// E///// Z/////                                         
3210270 080057    1 // ///// ///// N///// E///// Z/////                                         
3300000 080057233 1 // ///// ///// N///// E///// Z/////                                         
4400000 080057323 1 // ///// ///// N///// E///// Z/////                                         
A1958020806371398 052 312949 191 1320444 223 25     52J   5212  7300日向灘                    5K
7620000 ///////// 2 // ///// ///// N///// E///// Z/////                                         
7620100 ///////// 2 // ///// ///// N///// E///// Z/////                                         
7630000 ///////// 2 // ///// ///// N///// E///// Z/////                                         
7420000 ///////// 1 // ///// ///// N///// E///// Z/////                                         
7510000 ///////// 1 // ///// ///// N///// E///// Z/////                                         
A195802090543     99  2823   99  12930   99   0            8 1      詳細不明                  1N
7780900 090543    1 // ///// ///// N///// E///// Z/////                                         
A1958020906490816 048 330589 155 1362400 153 234734149J   5111  5208和歌山県南方沖            1K
5110300 090649000 1 // ///// ///// N///// E///// Z/////                                         
A1958020923051604 015 354167 063 1371006 074  8     48J   5213  4140岐阜県飛騨地方           14K
4302170 092305    3 // ///// ///// N///// E///// Z/////                                         
4223970 092305    2 // ///// ///// N///// E///// Z/////                                         
4310370 092305    2 // ///// ///// N///// E///// Z/////                                         
4311170 092305    2 // ///// ///// N///// E///// Z/////                                         
4311470 092305    2 // ///// ///// N///// E///// Z/////                                         
4320000 092305247 2 // ///// ///// N///// E///// Z/////                                         
4433670 092306    2 // ///// ///// N///// E///// Z/////                                         
4510000 092305264 2 // ///// ///// N///// E///// Z/////                                         
4110000 092305365 1 // ///// ///// N///// E///// Z/////                                         
4300000 092305000 1 // ///// ///// N///// E///// Z/////                                         
4325270 092305    1 // ///// ///// N///// E///// Z/////                                         
4433000 092305382 1 // ///// ///// N///// E///// Z/////                                         
4601670 092305352 1 // ///// ///// N///// E///// Z/////                                         
