A1999010600563485 012 303185 037 1304157 038 657710142D42V5111  7298éÌéqìáãﬂäC                8K
7620210 060057003 1 07 57102 00021 N00017 E00017 Z00011                                         
7700200 060057026 1 13 57032 00066 N00055 E00042 Z00020                                         
7710000 060056531 1 09 57061 00038 N00031 E00030 Z00013                                         
7711900 060056494 1 09 56599 00075 N00036 E00065 Z00037                                         
7740000 060056537 1 06 57076 00050 N00046 E00031 Z00021                                         
7760000 060056530 1 05 56553 00021 N00019 E00018 Z00008                                         
7760001 060056458 1 11 56545 00065 N00045 E00061 Z00035                                         
7770200 060056448 1 08 56525 00069 N00065 E00057 Z00049                                         
A1999010722552123 002 351537 008 1332152 008 109405724V   5111  6222íπéÊåßêºïî                2K
5631130 072255250 1 08 ///// 00094 N00077 E00083 Z00054                                         
5631430 072255251 1 05 ///// 00127 N00103 E00084 Z00061                                         
A1999010804102474 002 385801 011 1405075 013 103710034D37V5112  2 49ä‚éËåßì‡ó§ìÏïî            3K
2205200 080410307 2 18 10323 00209 N00202 E00085 Z00054                                         
2130400 080410339 1 05 10358 00078 N00068 E00050 Z00021                                         
2200200 080410430 1 10 10455 00044 N00043 E00028 Z00010                                         
A1999010808243662 021 261529 160 1263574 093 722915144V42d5112  7294â´ìÍñ{ìáãﬂäC              3K
8020100 080824482 2 18 24564 00118 N00114 E00087 Z00037                                         
8010901 080825094 1 07 25101 00022 N00022 E00013 Z00008                                         
8020101 080824477 1 13 24562 00089 N00072 E00066 Z00038                                         
A1999010912053865 032 440778 118 1472555 1871186928855D59V5113  1 26ñkäCìπìåï˚â´             35K
1660000 091206134 3 27 06368 00254 N00175 E00253 Z00062                                         
1400500 091206408 2 17 06456 00055 N00046 E00055 Z00023                                         
1610000 091206408 2 24 06497 00149 N00125 E00125 Z00071                                         
1610200 091206342 2 18 06474 00089 N00059 E00083 Z00026                                         
1670000 091206076 2 22 06300 00133 N00102 E00130 Z00067                                         
2020030 091208050 2 16 ///// 00045 N///// E///// Z/////                                         
2021831 091208080 2 17 ///// 00060 N///// E///// Z/////                                         
1510300 091207313 1 10 07340 00026 N00019 E00026 Z00005                                         
1520000 091207198 1 14 07297 00039 N00032 E00037 Z00007                                         
1550300 091206577 1 09 06588 00025 N00018 E00025 Z00007                                         
1560300 091207132 1 07 07149 00019 N00016 E00018 Z00012                                         
1560800 091207008 1 10 07060 00026 N00019 E00017 Z00025                                         
1570400 091207134 1 09 07175 00043 N00043 E00028 Z00017                                         
1600000 091206437 1 13 06455 00044 N00038 E00034 Z00027                                         
1610002 091206500 1 10 07021 00032 N00027 E00022 Z00015                                         
1650200 091206314 1 11 06357 00026 N00023 E00025 Z00012                                         
2000030 091208180 1 06 ///// 00015 N///// E///// Z/////                                         
2000200 091208031 1 12 08071 00032 N00031 E00025 Z00012                                         
2020000 091207598 1 06 08024 00021 N00021 E00018 Z00005                                         
2020430 091208080 1 09 ///// 00030 N///// E///// Z/////                                         
2020431 091208050 1 12 ///// 00033 N///// E///// Z/////                                         
2020730 091208190 1 05 ///// 00013 N///// E///// Z/////                                         
2021030 091208080 1 07 ///// 00021 N///// E///// Z/////                                         
2021031 091208040 1 13 ///// 00033 N///// E///// Z/////                                         
2021300 091207564 1 07 08013 00020 N00018 E00019 Z00008                                         
2021500 091208054 1 11 08076 00033 N00031 E00028 Z00015                                         
2021530 091208080 1 08 ///// 00024 N///// E///// Z/////                                         
