A2010010100575220 006 342222 020 1391012 032  0     18V   5212  3103êVìáÅEê_í√ìáãﬂäC          1K
3560112 010057534 2 16 57550 00106 N00052 E00095 Z00046 F032F032F061F061F115F115                
A2010010118215456 024 404395 044 1424268 087 234435541V   5111  2 60ê¬êXåßìåï˚â´              2K
1060021 011822442 1 06 22457 00021 N00015 E00021 Z00005 F041F040F042F042F096F081                
2120021 011822408 1 05 22413 00014 N00011 E00013 Z00010 F016F016F015F015F031F031                
A2010010120124642 005 345812 016 1390724 021  44305522V   5111  3100ê√â™åßà…ì§ínï˚            1K
4400100 012012494 1 12 12484 00078 N00068 E00041 Z00078 F058F050F110F038F130F065                
A2010010123011667 003 335774 011 1341462 012  78610718V   5111  6231ìøìáåßñkïî                1K
6003520 012301194 1 07 01193 00195 N00184 E00107 Z00144 F169F168F152F079F163F163                
A2010010207444893 022 350348 074 1395087 0921217517836V   5111  3 95êÁótåßìÏïî                1K
3500000 020745244 1 06 45250 00024 N00018 E00019 Z00005 F042F042F053F053F060F058                
A2010010216422993 011 381574 031 1415041 060 469106238V   5111  2 65ã{èÈåßâ´                 11K
2130220 021643064 1 07 43076 00033 N00029 E00025 Z00011 F056F066F065F066F085F086                
2130431 021642553 1 10 ///// 00104 N00072 E00082 Z00044 P001P///P001P///P001P///                
2130433 021642546 1 12 ///// 00088 N00076 E00078 Z00033 P002P///P001P///P001P///                
2130439 021642545 1 05 ///// 00041 N00037 E00028 Z00024 P001P///P002P///P001P///                
2200220 021642526 1 08 42532 00060 N00046 E00055 Z00023 F050F050F061F061F090F090                
2200230 021643040 1 07 ///// 00064 N00036 E00051 Z00044 P001P///P001P///P001P///                
2205500 021642493 1 06 42504 00039 N00025 E00037 Z00012 F066F066F072F072F157F204                
2205520 021642498 1 09 42504 00110 N00105 E00097 Z00026 F105F105F094F094F190F187                
2220521 021642477 1 10 42484 00091 N00089 E00067 Z00036 F117F117F122F124F116F117                
2220522 021642443 1 08 42445 00242 N00236 E00098 Z00050 F142F188F324F325F152F152                
2220533 021642530 1 08 ///// 00037 N00036 E00037 Z00017 P002P///P001P///P002P///                
A2010010219335959 003 310102 014 1301711 019  93913833V   5111  7275éFñÄîºìáêºï˚â´            2K
7700730 021934066 1 05 34066 00056 N00038 E00049 Z00019 P002P002P002P002P002P001                
7712020 021934121 1 08 34122 00072 N00068 E00030 Z00028 F110F110F056F055F108F107                
A2010010310141940 003 340322 009 1351694 014  83505527V   5112  5190òaâÃéRåßñkïî              4K
