7432001 051402167 1 13 02173 00096 N00068 E00080 Z00011                                         
A1998010519592746 007 321557 021 1294329 035 118816438D37V5112  7283ìVëêìÂ                    3K
7432001 051959333 2 24 59375 00275 N00244 E00204 Z00062                                         
7310001 051959409 1 05 59520 00023 N00018 E00021 Z00005                                         
7431900 051959510 1 05 59526 00014 N00011 E00014 Z00008                                         
A1998010523323118 005 353263 015 1390082 018 202806331V   5111  4152éRóúåßìåïîÅEïxémå‹åŒ      2K
4120200 052332358 1 11 32386 00117 N00094 E00084 Z00068                                         
4120300 052332365 1 13 32399 00079 N00073 E00061 Z00070                                         
A1998010523505674 002 384879 008 1410159 010 101004323V   5111  2 50ã{èÈåßñkïî                1K
2205200 052350585 1 08 50593 00079 N00053 E00061 Z00074                                         
A1998010601330720 015 280507 095 1302274 078 303014234V   5111  7296âÇî¸ëÂìáãﬂäC              1K
7780800 060133165 1 10 33234 00047 N00030 E00045 Z00015                                         
A1998010616154123 014 280585 098 1302455 070 283114133V   5111  7296âÇî¸ëÂìáãﬂäC              1K
7780800 061615508 1 06 15597 00025 N00017 E00023 Z00008                                         
A1998010705081849 003 315300 010 1301789 014  98305929V   5111  7273é≠éôìáåßéFñÄínï˚          2K
7700400 070508225 1 05 08257 00035 N00030 E00024 Z00033                                         
7705200 070508214 1 12 08231 00112 N00088 E00071 Z00030                                         
A1998010804211807 008 242965 028 1234506 020  95506431V   5112  7290êºï\ìáïtãﬂ                1K
8070070 080421211 2 18 21230 00132 N00132 E00113 Z00037                                         
A1998010811114458 021 280336 114 1302553 097 269319242V47d5113  7296âÇî¸ëÂìáãﬂäC              2K
7780800 081111549 3 28 12019 00296 N00149 E00263 Z00063                                         
7780900 081112123 1 08 12131 00021 N00018 E00016 Z00011                                         
A1998010811350418 012 281257 119 1302448 063 368610427v   5111  7296âÇî¸ëÂìáãﬂäC              1K
7780800 081135135 1 08 35202 00057 N00017 E00054 Z00020                                         
A1998010811364886 017 281039 162 1302430 091 357015829v   5111  7296âÇî¸ëÂìáãﬂäC              1K
7780800 081137100 1 10 37050 00048 N00032 E00042 Z00015                                         
A1998010812193620 020 281072 186 1302635 106 355019435V   5112  7296âÇî¸ëÂìáãﬂäC              1K
7780800 081219459 2 16 19528 00089 N00049 E00078 Z00022                                         
