MINABE        1352111335115 595
KOZAGA        1354272333203 596
MIKATA        1343190352680 597
KASAI         1345049345915 598
KURAYO        1334903352289 600
OKI           1332002361229 601
IKUMA         1330162352994 602
ODA           1323010351030 603
MASUDA        1315350343810 604
SAIJYO        1330682350011 605
KURAHA        1323161340857 606
JOUGE         1330910343866 607
AIDA          1340992345661 608
SAKAID        1335568342262 609
AIOI          1342693334774 610
MONOBE        1335258334389 611
KUBOKA        1330365331877 612
TOSASH        1324798325179 613
TANBAR        1330277334693 614
NAGAHA        1322857333363 615
KUDAMA        1315228340344 616
YTOYOT        1310373341595 617
AKAIKE        1304757334292 618
TAMANA        1303183325802 619
TSUSHM        1292378343165 620
IKI           1294378334793 621
URESHI        1295680330579 622
FUKUE2        1284484323953 623
KUNIMI        1313399333814 624
USUKI         1314489330414 625
NAKATS        1305260330750 626
HONDO         1300807322810 628
KUSHIM        1311694312901 631
OKUCHI        1303577320861 632
KOSHIK        1294282314089 633
SUZUYA        1302716313056 634
KUCHIE        1301161302794 636
TANEG3        1305864303948 637
NAKANO        1295235295069 638
KIKAIJ        1295819281910 639
AMAMI         1293618282491 640
TOKUNO        1285691274737 641
IHEYA         1275792270232 642
KUNIGA        1281635265016 643
KUMEJ2        1264705261979 645
MIYKJ2        1251755244910 646
TARAMA        1244231243855 647
ISHIG2        1240859242214 648
YONAJ2        1225665242734 649
MINAM2        1311342254919 650
HACHJ3        1394883330692 651
WAKKA3        1415362451910 652
NANGO         1413070402257 653
YUWA          1401230393259 654
OGA2          1394736395500 655
KATASH        1391474364619 656
ODAWA2        1390510351599 657
KUROMA        1381242350415 658
KATADA        1362499344278 659
MIKI          1350306344861 660
EIGENJ        1362326350831 661
TOYOHI        1322511343994 662
ITAYA         1302316332583 663
TAKAZA        1310514315428 664
KUIZU2        1304873323292 665
TAMAG2        1274481260854 666
BIRAT2        1422159424685 667
SHIUR2        1402446410361 668
OSHIM3        1392568344325 669
TSUNA         1345293342535 670
KITAKA        1312707323767 671
TSUNO         1313013321494 672
TASHR2        1305516311019 673
KAMIK2        1424465435251 676
YAKUM2        1402199420718 677
SHIRIU        1402486413193 678
KASUMI        1343966353544 679
GOTSU         1321991350191 680
HIKIMI        1315560343207 681
KAKEGA        1375828344733 682
YOSHIZ        1374384345992 683
TOYOSA        1454433432205 684
HIROMI        1323732331302 685
YONAGU        1230068242803 686
TOKORO        1435425435839 687
HAHAJI        1421049263803 688
KIRAGA        1340843332338 689
NARU          1311616313180 690
KITAFU        1421237270359 691
KUWANO        1421294270478 692
AGUNI         1271442263556 693
OKIGUS        1252432244582 694
KUROSH        1240046241450 695
IRIOMH        1234487242339 696
HATERS        1234821240365 697
OKUSHM        1392830420511 698
TENNOD        1405132354236 699
TAKISA        1374311345155 700
HAMAKI        1374532344908 701
NOBUKA        1424493421695 702
IWAKMZ        1404790370629 703
IRIOMF        1234371242034 704
MIYKE3        1393076340429 705
KAMAT3        1390425345603 793
E.IOB1        1391239345243 800
E.IOB2        1391618345615 801
E.IOB3        1391302345770 802
E.NRY         1385880350452 803
E.AKY         1390350353446 804
E.TNN         1383549365672 805
E.MTU         1375017362656 807
E.NGH         1384950344893 808
E.SEK2        1392929370549 810
E.WAJ         1365011372125 811
E.FKA         1381327374929 812
E.OSD         1382447381472 813
E.AKD         1383198375975 814
E.NUJ         1380166370306 815
E.HKB         1374936364094 816
E.TGA         1380490363974 817
E.OMJ         1381073364024 818
E.YHJ         1384799374420 819
E.FJO         1385461352199 820
E.ICY         1385581345440 822
E.KWZ         1385921344595 823
E.ASO         1392739363915 824
E.IZA         1393040340650 829
E.TBT         1393251340380 830
E.TJM         1392962340439 831
E.MKR         1393557335367 832
E.NAG         1390836341366 833
E.KKK         1390803341143 834
E.WKG         1391704342531 835
E.NIJ         1391607342358 836
E.NIS         1391644342137 837
E.SIK         1391291341957 838
E.TOS         1391660343158 839
