station,intensity,year,month,day,hour,minute,intensity_equip,acceleration_max_comb
4325332,2,2000,03,03,09,23,15,00229
4325332,1,2000,06,05,09,55,08,00046
4325332,2,2000,06,07,06,17,17,00074
4325332,2,2000,10,06,13,31,21,00047
4325332,2,2000,10,31,01,43,20,00119
4325332,1,2001,01,06,11,48,13,00085
4325332,2,2001,01,12,08,01,17,00032
4325332,1,2001,02,23,07,24,14,00055
4325332,1,2001,04,16,19,05,05,00058
4325332,1,2001,09,22,18,11,11,00097
4325332,1,2001,09,27,18,15,13,00135
4325332,1,2002,04,28,10,34,07,00031
4325332,1,2003,12,23,14,34,09,00057
4325332,1,2004,01,08,00,07,05,00041
4325332,1,2004,06,01,08,25,06,00114
4325332,2,2004,09,05,19,07,23,00123
4325332,3,2004,09,05,23,57,27,00187
4325332,2,2004,09,07,08,30,16,00067
4325332,1,2004,09,08,03,37,10,00034
4325332,1,2004,09,08,23,59,10,00025
4325332,1,2004,09,29,19,49,07,00078
4325332,3,2004,10,05,08,34,26,00210
4325332,2,2005,01,09,18,59,18,00213
4325332,2,2005,12,24,11,02,23,00753
4325332,2,2005,12,28,14,52,15,00237
4325332,1,2006,02,16,23,11,10,00046
4325332,1,2006,02,18,16,21,08,00041
4325332,2,2006,08,25,21,32,16,00195
4325332,1,2006,12,19,18,33,08,00065
4325332,1,2007,01,05,03,06,08,00045
4325332,1,2007,01,22,02,16,10,00052
4325332,1,2007,03,09,19,42,05,00282
4325332,2,2007,03,25,09,42,18,00051
4325332,2,2007,04,15,12,19,22,00142
4325332,1,2007,07,16,17,24,07,00032
4325332,1,2007,09,22,11,44,08,00046
4325332,1,2008,10,01,09,25,07,00071
4325332,2,2009,02,18,06,47,20,00228
4325332,2,2009,08,11,05,07,21,00075
4325332,1,2010,07,21,06,19,14,00045
4325332,1,2011,02,27,05,38,09,00036
4325332,3,2011,03,11,14,50,25,00081
4325332,2,2011,03,11,15,18,15,00025
4325332,1,2011,03,15,22,32,14,00030
4325332,1,2011,08,01,23,58,12,00022
4325332,2,2011,11,10,18,56,18,00239
4325332,1,2011,11,18,03,58,05,00021
4325332,2,2011,12,14,13,01,19,00195
4325332,1,2012,05,05,18,57,14,00113
4325332,1,2012,07,11,03,15,10,00160
4325332,1,2013,02,06,13,42,09,00112
4325332,1,2013,04,13,05,33,12,00025
4325332,1,2013,07,17,20,32,07,00065
4325332,2,2014,03,14,02,08,15,00044
4325332,3,2014,08,24,10,57,25,00548
4325332,1,2014,08,24,14,10,12,00133
4325332,1,2014,08,26,22,41,07,00088
4325332,1,2014,08,27,02,44,09,00164
4325332,1,2014,11,22,22,09,11,00015
4325332,1,2014,12,03,23,20,07,00049
