station,intensity,year,month,day,hour,minute,intensity_equip,acceleration_max_comb
7706030,2,1999,01,24,09,38,24,00100
7706030,2,1999,03,09,12,54,17,00056
7706030,3,1999,04,03,03,45,25,00124
7706030,2,1999,07,31,07,55,15,00043
7706030,2,1999,12,22,20,18,20,00057
7706030,2,2000,03,09,13,51,17,00059
7706030,2,2000,06,06,23,58,18,00055
7706030,3,2000,06,08,09,33,25,00138
7706030,3,2000,06,25,15,35,26,00104
7706030,2,2000,07,03,22,25,15,00033
7706030,2,2000,10,06,13,32,16,00033
7706030,3,2001,03,24,15,28,29,00123
7706030,3,2001,04,25,23,40,25,00103
7706030,3,2002,11,04,13,36,27,00124
7706030,3,2003,11,30,12,45,31,00245
7706030,2,2004,12,13,07,53,19,00058
7706030,2,2005,11,22,00,37,20,/////
7706030,3,2006,02,04,00,12,29,00178
7706030,2,2006,03,27,11,51,22,00081
7706030,3,2006,06,12,05,01,25,00084
7706030,2,2006,09,26,07,04,19,00049
7706030,2,2007,12,01,19,24,18,00118
7706030,2,2008,03,10,10,45,17,00040
7706030,1,2009,03,19,19,40,14,00025
7706030,3,2009,04,05,18,36,25,00099
7706030,1,2009,05,10,17,35,07,00048
7706030,2,2009,08,03,20,18,18,00052
7706030,1,2009,08,05,12,52,14,00030
7706030,1,2009,08,06,11,22,12,00032
7706030,2,2009,09,03,22,26,18,00044
7706030,2,2010,01,25,16,15,22,00095
7706030,1,2010,11,13,16,44,11,00043
7706030,1,2011,02,04,18,12,14,00030
