station,intensity,year,month,day,hour,minute,second,intensity_equip,acceleration_max_comb
3725160,3,1998,11,16,08,09,16. ,27,00242
3725160,1,2000,08,06,16,31,11. ,12,00017
3725160,1,2000,10,12,05,37,22. ,05,00024
3725160,1,2000,10,18,12,58,59. ,08,00033
3725160,2,2001,01,04,13,18,41. ,21,00066
3725160,1,2001,02,25,06,55,18. ,11,00018
3725160,2,2001,12,02,22,02,57. ,22,00049
3725160,1,2002,02,12,22,45,42. ,14,00026
3725160,1,2002,07,24,05,06,50. ,13,00028
3725160,2,2002,11,03,12,38,58. ,20,00045
3725160,1,2003,03,03,07,47,56. ,14,00022
3725160,3,2003,05,26,18,25,22. ,29,00149
3725160,2,2003,07,26,00,14,10. ,17,00037
3725160,3,2003,07,26,07,14,13. ,25,00084
3725160,2,2003,07,26,07,16,10. ,17,00031
3725160,1,2003,07,26,07,17,10. ,14,00019
3725160,1,2003,07,26,16,57,47. ,12,00016
3725160,1,2003,07,27,15,29,31. ,10,00011
3725160,1,2003,09,20,12,56,17. ,12,00018
3725160,1,2003,09,26,04,52,53. ,14,00022
3725160,1,2003,09,26,06,11,04. ,12,00017
3725160,1,2003,09,30,12,23,23. ,10,00022
3725160,2,2003,10,31,10,07,53. ,19,00038
3725160,1,2003,11,12,17,29,08. ,12,00018
3725160,2,2003,11,15,03,44,42. ,19,00040
3725160,1,2003,12,19,12,50,11. ,08,00018
3725160,1,2003,12,22,21,08,06. ,08,00027
3725160,1,2004,03,15,07,38,17. ,12,00023
3725160,1,2004,04,04,08,03,11. ,11,00015
3725160,2,2004,05,29,12,48,25. ,17,00033
3725160,2,2004,09,06,00,00,02. ,15,00025
3725160,1,2004,10,06,23,41,46. ,11,00015
3725160,4,2004,10,23,17,56,12. ,44,00900
3725160,3,2004,10,23,17,59,10. ,26,00129
3725160,2,2004,10,23,18,01,10. ,18,00033
3725160,2,2004,10,23,18,06,10. ,16,00027
3725160,2,2004,10,23,18,09,10. ,19,00036
3725160,1,2004,10,23,18,10,18. ,12,00034
3725160,4,2004,10,23,18,12,11. ,35,00314
3725160,4,2004,10,23,18,34,17. ,40,00603
3725160,2,2004,10,23,18,37,10. ,20,00046
3725160,1,2004,10,23,18,38,10. ,14,00021
3725160,1,2004,10,23,18,39,12. ,09,00012
3725160,2,2004,10,23,18,54,43. ,18,00103
3725160,2,2004,10,23,18,57,48. ,18,00052
3725160,2,2004,10,23,18,58,40. ,16,00028
3725160,2,2004,10,23,19,37,01. ,20,00061
3725160,3,2004,10,23,19,46,12. ,25,00168
3725160,3,2004,10,23,19,47,10. ,25,00079
3725160,1,2004,10,23,19,49,45. ,11,00032
3725160,1,2004,10,23,20,21,01. ,09,00029
3725160,2,2004,10,23,21,44,41. ,20,00081
3725160,1,2004,10,23,21,45,40. ,11,00016
3725160,3,2004,10,23,23,35,04. ,27,00126
3725160,1,2004,10,24,00,53,57. ,08,00010
3725160,1,2004,10,24,07,08,32. ,05,00022
3725160,1,2004,10,24,09,28,25. ,08,00024
3725160,1,2004,10,24,10,06,18. ,10,00043
3725160,1,2004,10,24,10,29,34. ,11,00018
3725160,2,2004,10,24,14,21,56. ,17,00034
