station,intensity,year,month,day,hour,minute,intensity_equip,acceleration_max_comb
7371301,1,1995,06,18,10,11,//,/////
7371301,1,1996,12,//,//,//,//,/////
7371301,1,1997,03,26,17,32,12,00038
7371301,1,1997,05,13,14,39,12,00030
7371301,2,1997,07,10,18,22,16,00123
7371301,1,2001,05,11,10,54,05,00033
7371301,1,2004,01,23,08,59,06,00038
7371301,1,2004,03,26,22,55,13,00137
7371301,1,2004,12,12,14,29,07,00039
7371301,1,2004,12,14,02,27,12,00058
7371301,2,2005,03,20,10,54,22,00183
7371301,1,2005,04,20,06,11,08,00039
7371301,2,2005,12,07,04,42,15,00155
7371301,1,2006,03,21,02,00,07,00073
7371301,1,2009,12,01,09,57,09,00050
7371301,2,2010,06,05,19,38,19,00240
7371301,1,2011,11,11,09,10,06,00074
7371301,2,2015,11,14,05,52,15,00046
7371301,1,2015,11,15,04,21,08,00026
7371301,1,2016,04,14,21,27,05,00016
7371301,1,2016,04,16,01,25,13,00035
7371301,1,2016,04,16,01,46,05,00015
7371301,2,2016,06,04,14,56,19,00129
7371301,1,2016,11,19,18,41,08,00063
7371301,1,2020,02,08,02,14,08,00039
7371301,1,2020,05,03,20,55,07,00024
7371301,1,2020,11,08,12,13,09,00075
