station,intensity,year,month,day,hour,minute,intensity_equip,acceleration_max_comb
2333036,2,1997,11,23,12,51,19,00063
2333036,2,1997,12,07,12,51,17,00054
2333036,1,1998,03,12,04,28,14,00033
2333036,2,1998,05,15,03,57,16,00035
2333036,2,1998,05,21,06,54,15,00045
2333036,2,1998,05,31,03,19,16,00027
2333036,3,1998,09,03,16,58,30,00203
2333036,1,1998,09,15,16,24,10,00037
2333036,1,1998,10,14,05,42,14,00025
2333036,1,1998,11,24,04,49,09,00027
2333036,2,1999,01,22,07,03,15,00032
2333036,1,1999,02,01,01,53,10,00020
2333036,3,1999,02,26,14,18,25,00135
2333036,1,1999,02,26,14,19,14,00037
2333036,1,1999,03,11,20,06,11,00033
2333036,1,1999,03,19,02,57,10,00016
2333036,1,1999,04,19,03,44,14,00059
2333036,2,1999,05,13,03,01,17,00039
2333036,2,1999,10,03,06,09,16,00031
2333036,1,1999,11,15,10,35,14,00036
2333036,2,2000,01,28,23,23,22,00078
2333036,2,2000,02,11,16,08,19,00073
2333036,1,2000,03,20,06,26,09,00020
2333036,1,2000,03,28,20,07,05,00008
2333036,2,2000,07,21,03,40,17,00034
2333036,1,2000,07,31,13,38,09,00015
2333036,1,2000,08,06,16,31,11,00016
2333036,2,2000,10,03,13,14,20,00052
2333036,2,2000,12,22,19,16,17,00040
2333036,2,2001,02,25,06,55,20,00055
2333036,1,2001,02,26,15,09,11,00018
2333036,1,2001,04,03,04,55,12,00027
2333036,1,2001,04,27,02,51,09,00016
2333036,2,2001,08,14,05,12,20,00056
2333036,1,2001,10,02,17,20,14,00027
2333036,1,2001,11,13,16,45,14,00048
2333036,4,2001,12,02,22,02,41,00547
2333036,2,2002,01,27,16,09,19,00070
2333036,1,2002,02,12,22,46,10,00017
2333036,1,2002,05,06,17,13,09,00020
2333036,2,2002,05,12,10,29,24,00137
2333036,1,2002,06,29,02,23,09,00013
2333036,2,2002,07,24,05,06,16,00032
2333036,1,2002,10,12,20,00,14,00028
2333036,2,2002,10,14,23,13,15,00030
2333036,1,2002,10,25,05,00,12,00062
2333036,3,2002,11,03,12,38,30,00213
2333036,1,2002,11,17,13,57,12,00022
2333036,1,2002,12,05,00,51,14,00034
2333036,1,2002,12,05,00,53,11,00026
2333036,1,2003,01,05,18,51,12,00032
2333036,1,2003,02,19,14,03,10,00020
2333036,3,2003,03,03,07,47,26,00091
2333036,2,2003,04,17,03,00,15,00038
2333036,A,2003,05,26,18,24,47,01466
2333036,1,2003,05,28,06,24,10,00025
2333036,1,2003,05,31,18,42,14,00050
2333036,1,2003,06,01,05,39,10,00030
2333036,2,2003,06,10,16,24,19,00078
2333036,1,2003,06,28,20,19,10,00032
2333036,2,2003,07,18,12,33,16,00044
2333036,3,2003,07,26,00,13,28,00186
2333036,3,2003,07,26,07,13,30,00220
2333036,1,2003,07,26,07,15,11,00014
2333036,1,2003,07,26,10,23,13,00030
2333036,2,2003,07,26,16,57,16,00039
2333036,1,2003,07,27,15,27,11,00029
2333036,1,2003,07,28,04,08,13,00029
2333036,1,2003,08,22,22,45,14,00047
2333036,3,2003,09,26,04,52,27,00102
2333036,3,2003,09,26,06,10,25,00089
2333036,1,2003,09,29,11,38,10,00016
2333036,2,2003,10,31,10,07,24,00081
2333036,1,2003,10,31,23,15,13,00020
2333036,1,2003,11,01,22,11,12,00017
2333036,1,2003,11,02,11,59,11,00020
2333036,1,2003,11,15,03,45,13,00022
2333036,1,2004,01,26,17,46,11,00034
2333036,2,2004,02,04,15,09,24,00136
2333036,1,2004,02,27,11,50,11,00051
2333036,1,2004,02,29,05,33,12,00042
2333036,1,2004,04,04,08,03,09,00015
2333036,2,2004,04,14,11,11,19,00279
2333036,2,2004,05,29,12,48,18,00042
2333036,2,2004,08,10,15,14,21,00069
2333036,1,2004,09,01,11,50,09,00015
2333036,2,2004,10,23,17,57,22,00073
2333036,1,2004,10,23,18,04,14,00029
2333036,2,2004,10,23,18,13,16,00040
2333036,2,2004,10,23,18,35,18,00042
2333036,1,2004,10,27,10,42,13,00027
2333036,1,2004,11,02,22,05,13,00032
2333036,1,2004,11,08,11,17,12,00027
2333036,2,2004,11,29,03,34,15,00027
2333036,1,2004,12,06,23,17,14,00023
2333036,1,2004,12,29,22,59,10,00023
2333036,2,2004,12,30,22,30,19,00078
2333036,1,2005,01,18,23,11,11,00018
2333036,2,2005,02,26,21,38,21,00095
2333036,1,2005,04,11,07,24,09,00013
2333036,2,2005,05,21,07,01,23,00095
2333036,2,2005,06,02,06,56,20,00292
2333036,2,2005,07,02,09,32,15,00035
2333036,4,2005,08,16,11,47,41,00637
2333036,2,2005,08,24,19,16,18,00042
2333036,2,2005,08,31,03,11,18,00047
2333036,2,2005,09,28,20,20,17,00051
2333036,1,2005,10,18,01,14,10,00022
2333036,1,2005,10,18,01,16,13,00033
2333036,2,2005,10,19,20,46,18,00034
2333036,1,2005,10,22,22,14,12,00020
2333036,1,2005,11,01,11,01,09,00034
2333036,1,2005,11,13,09,26,11,00052
2333036,3,2005,11,15,06,39,27,00170
2333036,2,2005,12,02,22,13,23,00077
2333036,1,2005,12,05,03,04,09,00018
2333036,1,2005,12,05,07,21,13,00022
2333036,1,2005,12,08,13,06,07,00022
2333036,2,2005,12,17,03,32,21,00084
2333036,2,2006,01,18,23,26,17,00038
2333036,1,2006,02,03,13,39,11,00017
2333036,1,2006,02,13,17,23,13,00032
2333036,1,2006,03,12,07,07,10,00025
2333036,2,2006,04,22,23,36,15,00060
2333036,1,2006,06,17,02,12,05,00010
2333036,1,2006,06,17,05,20,08,00014
2333036,2,2006,07,01,08,28,17,00048
2333036,1,2006,07,06,02,09,08,00018
2333036,2,2006,10,02,02,08,17,00054
2333036,1,2006,10,11,08,59,14,00020
2333036,1,2006,11,22,20,18,05,00010
2333036,2,2007,01,13,13,29,17,00032
2333036,1,2007,01,23,13,08,06,00015
2333036,1,2007,01,30,16,06,05,00014
2333036,1,2007,02,17,09,04,08,00009
2333036,2,2007,03,25,09,42,15,00037
2333036,1,2007,03,27,21,19,13,00085
2333036,3,2007,03,31,22,32,26,00523
2333036,1,2007,04,10,10,24,07,00033
2333036,1,2007,05,19,01,01,06,00013
2333036,1,2007,07,01,13,14,07,00013
2333036,2,2007,07,16,10,14,21,00082
2333036,1,2007,07,16,15,38,11,00032
2333036,2,2007,07,16,23,20,18,00039
2333036,1,2007,08,04,17,04,06,00015
2333036,1,2007,08,25,21,57,05,00017
2333036,1,2007,11,19,15,00,10,00033
2333036,2,2007,11,26,22,52,17,00035
2333036,1,2007,12,25,23,05,13,00031
2333036,1,2007,12,26,08,39,06,00018
2333036,1,2008,01,11,08,01,11,00032
2333036,1,2008,02,10,17,05,05,00028
2333036,1,2008,03,29,08,04,13,00038
2333036,2,2008,04,17,04,20,23,00114
2333036,1,2008,04,29,14,27,09,00015
2333036,1,2008,05,02,14,42,05,00010
2333036,1,2008,05,08,01,03,13,00023
2333036,1,2008,05,08,01,04,08,00014
2333036,2,2008,05,08,01,46,20,00056
2333036,1,2008,05,29,01,42,13,00039
2333036,1,2008,05,31,23,29,12,00023
2333036,1,2008,06,02,00,59,09,00017
2333036,A,2008,06,14,08,43,47,01560
2333036,2,2008,06,14,08,46,15,00126
2333036,1,2008,06,14,08,49,13,00051
2333036,1,2008,06,14,08,57,08,00019
2333036,1,2008,06,14,09,07,11,00035
2333036,1,2008,06,14,09,18,09,00033
2333036,2,2008,06,14,09,20,19,00056
2333036,2,2008,06,14,09,53,16,00087
2333036,2,2008,06,14,10,00,16,00049
2333036,2,2008,06,14,10,40,15,00072
2333036,1,2008,06,14,11,35,11,00041
2333036,2,2008,06,14,12,10,17,00078
2333036,1,2008,06,14,12,14,10,00028
2333036,2,2008,06,14,12,27,20,00065
2333036,1,2008,06,14,12,31,05,00042
2333036,1,2008,06,14,13,11,10,00030
2333036,1,2008,06,14,13,31,06,00023
2333036,1,2008,06,14,14,09,10,00058
2333036,1,2008,06,14,14,39,11,00040
2333036,1,2008,06,14,17,34,08,00024
2333036,1,2008,06,14,21,48,13,00052
2333036,1,2008,06,14,23,22,06,00020
2333036,2,2008,06,14,23,42,15,00052
2333036,1,2008,06,15,02,25,05,00025
2333036,2,2008,06,15,03,29,15,00107
2333036,1,2008,06,15,03,47,09,00040
2333036,2,2008,06,15,12,30,16,00080
2333036,1,2008,06,16,02,36,06,00019
2333036,1,2008,06,16,20,35,10,00059
2333036,2,2008,06,16,23,14,24,00188
2333036,1,2008,06,17,01,00,06,00035
2333036,1,2008,06,17,03,23,07,00034
2333036,1,2008,06,17,04,05,12,00054
2333036,1,2008,06,18,00,54,06,00034
2333036,1,2008,06,18,16,55,13,00046
2333036,1,2008,06,18,18,04,12,00043
2333036,1,2008,06,20,02,32,09,00045
2333036,1,2008,06,26,15,51,05,00012
2333036,1,2008,07,05,11,15,06,00010
2333036,1,2008,07,05,14,22,08,00049
2333036,1,2008,07,12,08,06,13,00055
2333036,1,2008,07,14,23,56,11,00085
2333036,3,2008,07,19,11,40,29,00131
2333036,1,2008,07,19,13,09,12,00058
2333036,2,2008,07,21,20,31,21,00062
2333036,2,2008,07,22,17,47,16,00032
2333036,4,2008,07,24,00,26,40,00741
2333036,1,2008,07,24,11,28,09,00026
2333036,1,2008,07,29,16,27,06,00041
2333036,1,2008,07,29,16,36,09,00034
2333036,1,2008,08,06,22,16,10,00057
2333036,1,2008,08,22,15,02,06,00026
2333036,2,2008,09,02,18,35,15,00071
2333036,2,2008,09,11,09,22,16,00026
2333036,2,2008,09,22,16,33,17,00042
2333036,2,2008,09,24,08,44,16,00062
2333036,1,2008,09,27,01,54,07,00013
2333036,2,2008,10,30,00,49,16,00055
2333036,2,2008,12,04,08,18,18,00035
2333036,1,2008,12,04,12,12,12,00023
2333036,1,2008,12,06,05,04,07,00015
2333036,1,2008,12,18,15,48,13,00023
2333036,1,2008,12,20,19,30,13,00018
2333036,1,2008,12,21,18,18,10,00013
2333036,1,2009,02,01,06,53,12,00021
2333036,2,2009,02,15,18,25,17,00046
2333036,1,2009,04,21,18,59,05,00011
2333036,1,2009,04,25,22,55,14,00040
2333036,1,2009,06,05,12,32,10,00014
2333036,1,2009,06,20,11,54,05,00010
2333036,2,2009,06,23,16,38,18,00055
2333036,1,2009,06,27,20,42,10,00044
2333036,2,2009,08,09,19,58,15,00027
2333036,1,2009,08,10,03,27,05,00020
2333036,1,2009,12,19,04,31,05,00012
2333036,1,2010,01,17,15,05,06,00018
2333036,1,2010,02,04,21,24,08,00027
2333036,3,2010,03,01,07,08,25,00121
2333036,2,2010,03,13,21,47,18,00041
2333036,3,2010,03,14,17,08,30,00200
2333036,1,2010,04,26,06,23,13,00029
2333036,1,2010,06,03,07,39,10,00045
2333036,2,2010,06,13,12,33,23,00070
2333036,2,2010,07,04,04,33,21,00088
2333036,3,2010,07,05,06,56,28,00151
2333036,2,2010,07,27,08,31,19,00059
2333036,2,2010,08,10,14,51,23,00061
2333036,2,2010,08,31,11,31,15,00039
2333036,1,2010,09,01,16,33,07,00023
2333036,2,2010,09,13,14,48,15,00035
2333036,1,2010,09,21,04,26,07,00049
2333036,1,2010,10,08,21,16,05,00022
2333036,1,2010,11,30,12,29,08,00014
2333036,1,2010,12,06,16,31,09,00018
2333036,1,2010,12,22,02,25,07,00010
2333036,1,2011,02,10,22,04,09,00016
2333036,1,2011,02,13,06,26,07,00043
2333036,1,2011,02,27,00,40,05,00008
2333036,4,2011,03,09,11,46,37,00346
2333036,2,2011,03,09,11,58,16,00033
2333036,2,2011,03,09,11,59,16,00026
2333036,1,2011,03,09,12,09,09,00014
2333036,1,2011,03,09,13,33,06,00012
2333036,2,2011,03,09,13,38,19,00039
2333036,1,2011,03,09,13,47,09,00016
2333036,1,2011,03,09,17,03,10,00016
2333036,1,2011,03,09,20,29,06,00010
2333036,2,2011,03,10,03,17,20,00049
2333036,2,2011,03,10,03,45,16,00028
2333036,2,2011,03,10,06,25,23,00076
2333036,1,2011,03,10,08,38,08,00022
2333036,1,2011,03,10,17,09,10,00013
2333036,1,2011,03,10,20,22,06,00009
2333036,B,2011,03,11,14,47,51,01713
2333036,3,2011,03,11,14,53,32,00161
2333036,2,2011,03,11,14,55,19,00053
2333036,2,2011,03,11,14,58,21,00089
2333036,3,2011,03,11,14,59,25,00119
2333036,4,2011,03,11,15,06,37,00471
2333036,4,2011,03,11,15,09,42,00614
2333036,3,2011,03,11,15,13,25,00112
2333036,3,2011,03,11,15,17,26,00109
2333036,2,2011,03,11,15,20,18,00047
2333036,3,2011,03,11,15,23,27,00145
2333036,4,2011,03,11,15,27,35,00317
2333036,2,2011,03,11,15,30,19,00054
2333036,1,2011,03,11,15,36,08,00018
2333036,2,2011,03,11,15,41,22,00098
2333036,1,2011,03,11,15,43,10,00015
2333036,1,2011,03,11,15,44,11,00026
2333036,2,2011,03,11,15,46,15,00034
2333036,1,2011,03,11,15,49,13,00046
2333036,2,2011,03,11,15,50,21,00065
2333036,3,2011,03,11,15,51,25,00107
2333036,1,2011,03,11,15,53,09,00015
2333036,1,2011,03,11,15,56,07,00018
2333036,1,2011,03,11,15,59,08,00011
2333036,1,2011,03,11,16,00,13,00036
2333036,1,2011,03,11,16,01,12,00027
2333036,3,2011,03,11,16,05,30,00211
2333036,2,2011,03,11,16,06,22,00094
2333036,2,2011,03,11,16,11,15,00026
2333036,2,2011,03,11,16,16,23,00064
2333036,2,2011,03,11,16,17,19,00042
2333036,1,2011,03,11,16,19,12,00021
2333036,3,2011,03,11,16,26,26,00147
2333036,3,2011,03,11,16,29,34,00326
2333036,3,2011,03,11,16,30,27,00115
2333036,2,2011,03,11,16,32,20,00095
2333036,1,2011,03,11,16,35,13,00029
2333036,1,2011,03,11,16,36,12,00020
2333036,1,2011,03,11,16,37,13,00042
2333036,2,2011,03,11,16,38,20,00070
2333036,2,2011,03,11,16,39,19,00047
2333036,1,2011,03,11,16,40,05,00010
2333036,1,2011,03,11,16,41,11,00035
2333036,1,2011,03,11,16,44,08,00012
2333036,1,2011,03,11,16,54,06,00015
2333036,2,2011,03,11,16,55,21,00075
2333036,2,2011,03,11,16,57,16,00030
2333036,1,2011,03,11,17,05,05,00013
2333036,2,2011,03,11,17,06,17,00033
2333036,1,2011,03,11,17,11,08,00017
2333036,2,2011,03,11,17,13,18,00040
2333036,1,2011,03,11,17,17,06,00015
2333036,1,2011,03,11,17,19,09,00016
2333036,2,2011,03,11,17,20,19,00043
2333036,2,2011,03,11,17,28,18,00042
2333036,2,2011,03,11,17,27,15,00023
2333036,2,2011,03,11,17,31,19,00051
2333036,2,2011,03,11,17,33,18,00042
2333036,1,2011,03,11,17,37,12,00045
2333036,2,2011,03,11,17,41,19,00058
2333036,2,2011,03,11,17,47,16,00036
2333036,1,2011,03,11,17,48,06,00019
2333036,1,2011,03,11,17,54,06,00011
2333036,1,2011,03,11,17,57,05,00014
2333036,1,2011,03,11,18,05,06,00011
2333036,2,2011,03,11,18,17,18,00061
2333036,2,2011,03,11,18,28,15,00042
2333036,3,2011,03,11,18,43,25,00121
2333036,1,2011,03,11,18,48,13,00019
2333036,3,2011,03,11,19,11,27,00192
2333036,1,2011,03,11,19,13,10,00014
2333036,1,2011,03,11,19,21,10,00017
2333036,1,2011,03,11,19,58,14,00037
2333036,2,2011,03,11,20,01,17,00047
2333036,1,2011,03,11,20,23,07,00009
2333036,1,2011,03,11,20,28,08,00015
2333036,2,2011,03,11,20,31,19,00069
2333036,4,2011,03,11,20,37,35,00534
2333036,1,2011,03,11,20,40,12,00043
2333036,1,2011,03,11,20,43,14,00030
2333036,1,2011,03,11,20,54,06,00018
2333036,2,2011,03,11,20,57,23,00126
2333036,1,2011,03,11,21,02,09,00023
2333036,2,2011,03,11,21,13,20,00046
2333036,2,2011,03,11,21,16,23,00120
2333036,1,2011,03,11,21,23,08,00021
2333036,1,2011,03,11,21,34,08,00016
2333036,2,2011,03,11,21,55,18,00067
2333036,1,2011,03,11,22,09,08,00018
2333036,1,2011,03,11,22,16,07,00012
2333036,1,2011,03,11,22,56,13,00030
2333036,1,2011,03,11,23,11,11,00021
2333036,1,2011,03,12,00,02,08,00022
2333036,1,2011,03,12,00,09,06,00010
2333036,1,2011,03,12,00,14,12,00016
2333036,1,2011,03,12,00,15,11,00016
2333036,1,2011,03,12,00,21,11,00015
2333036,1,2011,03,12,00,37,05,00011
2333036,2,2011,03,12,06,01,20,00068
2333036,1,2011,03,12,07,44,11,00026
2333036,1,2011,03,12,07,52,09,00021
2333036,1,2011,03,12,08,05,06,00018
2333036,1,2011,03,12,08,27,10,00021
2333036,1,2011,03,12,08,54,10,00027
2333036,1,2011,03,12,08,55,07,00016
2333036,1,2011,03,12,09,26,06,00011
2333036,1,2011,03,12,12,07,05,00016
2333036,2,2011,03,12,13,06,19,00062
2333036,1,2011,03,12,13,54,11,00015
2333036,1,2011,03,12,15,29,06,00013
2333036,1,2011,03,12,18,41,12,00027
2333036,3,2011,03,12,19,54,32,00221
2333036,1,2011,03,12,20,21,05,00015
2333036,1,2011,03,12,21,55,11,00026
2333036,2,2011,03,12,22,16,22,00067
2333036,1,2011,03,12,22,25,08,00030
2333036,1,2011,03,12,22,27,10,00026
2333036,1,2011,03,13,02,42,06,00012
2333036,2,2011,03,13,06,59,17,00053
2333036,1,2011,03,13,07,11,07,00019
2333036,1,2011,03,13,08,21,10,00021
2333036,1,2011,03,13,14,48,11,00031
2333036,1,2011,03,13,14,55,11,00026
2333036,1,2011,03,13,16,05,07,00014
2333036,2,2011,03,13,16,57,17,00031
2333036,2,2011,03,13,18,25,18,00067
2333036,2,2011,03,13,18,53,18,00045
2333036,2,2011,03,13,20,38,19,00056
2333036,1,2011,03,13,22,44,07,00018
