station,intensity,year,month,day,hour,minute,second,intensity_equip,acceleration_max_comb
3411630,2,2000,04,10,06,30,51. ,21,00171
3411630,1,2000,05,16,19,40,54. ,09,00035
3411630,3,2000,06,03,17,54,55. ,29,00216
3411630,1,2000,07,11,02,01,53. ,06,00053
3411630,1,2000,07,12,01,29,43. ,09,00049
3411630,3,2000,07,21,03,39,46. ,28,00200
3411630,2,2000,08,06,16,30,24. ,16,00040
3411630,1,2000,08,14,16,34,06. ,09,00034
3411630,1,2000,08,27,08,42,32. ,07,00027
3411630,1,2000,09,29,08,56,32. ,13,00039
3411630,1,2000,10,11,15,16,06. ,11,00050
3411630,1,2000,10,24,08,11,19. ,12,00044
3411630,1,2000,11,12,14,15,08. ,10,00048
3411630,2,2000,12,05,01,48,05. ,17,00050
3411630,2,2001,02,25,06,55,04. ,15,00038
3411630,1,2001,03,06,14,32,51. ,06,00033
3411630,1,2001,03,12,11,58,52. ,07,00030
3411630,1,2001,04,10,10,04,32. ,09,00034
3411630,1,2001,04,17,09,40,24. ,12,00028
3411630,1,2001,05,24,13,23,01. ,11,00052
3411630,1,2001,05,25,15,55,27. ,11,00033
3411630,1,2001,05,31,08,59,36. ,12,00053
3411630,2,2001,07,20,06,02,50. ,16,00091
3411630,1,2001,09,04,23,55,28. ,12,00035
3411630,2,2001,09,18,04,24,08. ,19,00167
3411630,1,2001,09,25,04,35,43. ,08,00033
3411630,1,2001,10,18,06,30,51. ,08,00035
3411630,1,2001,11,17,01,32,11. ,13,00135
3411630,2,2001,12,02,22,03,34. ,15,00065
3411630,2,2002,02,05,19,57,36. ,16,00122
3411630,1,2002,02,11,10,10,25. ,13,00045
3411630,2,2002,02,12,22,45,10. ,23,00151
3411630,2,2002,05,04,20,35,21. ,17,00070
3411630,1,2002,05,04,23,29,56. ,08,00043
3411630,2,2002,05,19,05,00,29. ,16,00075
3411630,3,2002,06,14,11,43,02. ,25,00197
3411630,2,2002,07,13,21,46,00. ,22,00189
3411630,2,2002,07,24,05,06,43. ,17,00046
3411630,1,2002,10,21,01,06,34. ,14,00060
3411630,1,2002,11,03,12,39,31. ,14,00035
3411630,1,2002,12,23,05,32,01. ,05,00056
3411630,1,2003,01,09,13,14,57. ,08,00035
3411630,1,2003,01,21,13,19,57. ,08,00035
3411630,2,2003,01,31,17,54,04. ,16,00080
3411630,1,2003,02,16,12,04,46. ,08,00034
