station,intensity,year,month,day,hour,minute,intensity_equip,acceleration_max_comb
3501151,1,1999,12,04,14,06,12,00057
3501151,1,2000,02,11,20,57,14,00081
3501151,2,2000,04,10,06,30,23,00180
3501151,1,2000,05,11,06,36,11,00072
3501151,3,2000,06,03,17,55,25,00123
3501151,1,2000,07,03,05,04,14,00028
3501151,2,2000,07,15,10,31,21,00068
3501151,1,2000,07,16,01,33,05,00031
3501151,2,2000,07,21,03,39,24,00107
3501151,2,2000,08,18,04,53,24,01014
3501151,1,2000,09,09,20,48,09,00033
3501151,1,2000,09,11,07,50,11,00021
3501151,2,2000,09,29,08,56,23,00127
3501151,1,2000,09,29,09,56,14,00074
3501151,1,2000,09,30,23,24,07,00030
3501151,2,2000,10,11,15,15,19,00141
3501151,1,2000,10,18,12,59,10,00021
3501151,2,2000,10,24,08,11,17,00136
3501151,1,2000,10,24,08,39,06,00041
3501151,1,2000,10,31,04,21,09,00017
3501151,1,2000,11,12,14,15,10,00047
3501151,1,2000,11,14,04,13,12,00081
3501151,1,2000,12,05,01,48,12,00027
3501151,1,2000,12,22,19,17,08,00014
3501151,1,2001,02,02,08,10,07,00027
3501151,2,2001,04,03,23,58,15,00029
3501151,2,2001,04,10,10,04,18,00091
3501151,1,2001,04,17,09,40,07,00018
3501151,1,2001,04,20,01,45,07,00042
3501151,1,2001,05,24,13,23,06,00029
3501151,1,2001,05,31,08,59,11,00047
3501151,1,2001,06,01,00,42,09,00029
3501151,2,2001,06,25,01,27,21,00400
3501151,2,2001,07,20,06,02,17,00083
3501151,2,2001,07,26,03,33,17,00109
3501151,2,2001,09,18,04,24,22,00193
3501151,1,2001,09,25,04,35,10,00033
3501151,1,2001,09,25,04,57,05,00021
3501151,1,2001,10,02,17,21,08,00019
3501151,1,2001,10,02,23,02,09,00051
3501151,1,2001,10,18,06,30,09,00033
3501151,1,2001,11,12,03,14,06,00022
3501151,2,2001,11,17,01,32,18,00116
3501151,1,2001,12,01,11,27,07,00040
3501151,1,2001,12,02,14,24,05,00035
3501151,2,2001,12,02,22,03,15,00040
3501151,2,2001,12,08,04,07,16,00053
3501151,1,2001,12,19,00,07,08,00031
3501151,1,2002,01,10,00,41,07,00030
