station,intensity,year,month,day,hour,minute,second,intensity_equip,acceleration_max_comb
7700200,1,1926,05,24,14,28,  . ,//,/////
7700200,1,1926,06,//,//,//,//. ,//,/////
7700200,1,1926,06,17,09,11,  . ,//,/////
7700200,1,1927,05,08,20,15,00. ,//,/////
7700200,1,1927,08,//,//,//,//. ,//,/////
7700200,1,1927,09,//,//,//,//. ,//,/////
7700200,1,1927,09,21,08,55,  . ,//,/////
7700200,1,1927,10,//,//,//,//. ,//,/////
7700200,1,1927,12,//,//,//,//. ,//,/////
7700200,1,1927,12,//,//,//,//. ,//,/////
7700200,1,1928,01,21,09,53,  . ,//,/////
7700200,1,1928,02,04,17,15,  . ,//,/////
7700200,2,1928,06,03,17,31,00. ,//,/////
7700200,1,1928,06,//,//,//,//. ,//,/////
7700200,1,1928,06,03,19,04,  . ,//,/////
7700200,1,1928,06,//,//,//,//. ,//,/////
7700200,2,1928,06,14,09,27,00. ,//,/////
7700200,1,1928,07,06,21,10,  . ,//,/////
7700200,1,1928,10,24,16,26,  . ,//,/////
7700200,1,1929,04,29,20,42,  . ,//,/////
7700200,1,1929,10,28,18,26,  . ,//,/////
7700200,1,1930,01,//,//,//,//. ,//,/////
7700200,1,1930,12,05,22,15,  . ,//,/////
7700200,1,1930,12,18,19,41,00. ,//,/////
7700200,1,1931,02,20,15,09,  . ,//,/////
7700200,2,1931,04,02,19,55,  . ,//,/////
7700200,2,1931,11,//,//,//,//. ,//,/////
7700200,1,1931,11,//,//,//,//. ,//,/////
7700200,1,1931,12,//,//,//,//. ,//,/////
7700200,2,1931,12,//,//,//,//. ,//,/////
7700200,1,1932,02,01,17,26,  . ,//,/////
7700200,1,1933,01,//,//,//,//. ,//,/////
7700200,1,1933,01,16,18,22,00. ,//,/////
7700200,1,1933,06,//,//,//,//. ,//,/////
7700200,1,1933,12,02,02,44,00. ,//,/////
7700200,1,1934,06,//,//,//,//. ,//,/////
7700200,1,1934,10,//,//,//,//. ,//,/////
7700200,1,1934,12,14,99,99,  . ,//,/////
7700200,1,1934,12,16,99,99,  . ,//,/////
7700200,1,1935,01,11,11,59,  . ,//,/////
7700200,1,1935,09,//,//,//,//. ,//,/////
7700200,1,1937,01,//,//,//,//. ,//,/////
7700200,1,1937,08,//,//,//,//. ,//,/////
7700200,1,1937,12,14,16,16,00. ,//,/////
7700200,1,1938,01,//,//,//,//. ,//,/////
7700200,1,1938,01,12,21,52,  . ,//,/////
7700200,1,1938,03,01,15,00,00. ,//,/////
7700200,2,1938,03,//,//,//,//. ,//,/////
7700200,1,1939,01,//,//,//,//. ,//,/////
7700200,1,1939,02,19,02,45,00. ,//,/////
7700200,1,1939,03,//,//,//,//. ,//,/////
7700200,1,1939,05,06,07,03,  . ,//,/////
7700200,1,1939,12,02,07,57,00. ,//,/////
7700200,1,1939,12,24,16,39,  . ,//,/////
7700200,2,1940,02,10,11,33,  . ,//,/////
7700200,1,1940,04,22,09,30,  . ,//,/////
7700200,1,1940,12,01,19,46,  . ,//,/////
7700200,3,1941,07,//,//,//,//. ,//,/////
7700200,3,1941,11,//,//,//,//. ,//,/////
7700200,3,1942,03,//,//,//,//. ,//,/////
7700200,3,1942,04,//,//,//,//. ,//,/////
7700200,3,1942,04,//,//,//,//. ,//,/////
7700200,3,1943,04,23,06,11,  . ,//,/////
7700200,3,1943,06,23,06,11,  . ,//,/////
7700200,1,1943,11,18,14,58,  . ,//,/////
7700200,1,1943,12,19,18,22,  . ,//,/////
7700200,1,1944,04,26,14,27,  . ,//,/////
7700200,1,1944,05,30,10,03,  . ,//,/////
7700200,2,1944,10,01,17,55,  . ,//,/////
7700200,1,1944,10,05,14,38,  . ,//,/////
7700200,2,1944,10,17,13,36,  . ,//,/////
7700200,1,1945,12,10,12,40,  . ,//,/////
7700200,1,1946,01,16,06,33,  . ,//,/////
7700200,3,1946,12,//,//,//,//. ,//,/////
7700200,3,1947,11,//,//,//,//. ,//,/////
7700200,2,1947,11,//,//,//,//. ,//,/////
7700200,1,1948,05,05,04,40,  . ,//,/////
7700200,3,1948,05,//,//,//,//. ,//,/////
7700200,2,1948,08,//,//,//,//. ,//,/////
7700200,1,1949,02,06,12,55,00. ,//,/////
7700200,2,1949,03,//,//,//,//. ,//,/////
