station,intensity,year,month,day,hour,minute,second,intensity_equip,acceleration_max_comb
2330100,2,1996,10,//,//,//,//. ,//,/////
2330100,1,1996,10,//,//,//,//. ,//,/////
2330100,1,1996,10,//,//,//,//. ,//,/////
2330100,1,1996,10,//,//,//,//. ,//,/////
2330100,1,1996,11,//,//,//,//. ,//,/////
2330100,1,1997,02,//,//,//,//. ,//,/////
2330100,1,1997,02,27,17,47,51. ,05,00042
2330100,1,1997,03,06,15,51,40. ,07,00040
2330100,1,1997,05,12,08,00,44. ,08,00018
2330100,1,1997,10,11,18,45,54. ,09,00026
2330100,1,1997,10,27,04,07,01. ,14,00053
2330100,2,1997,11,23,12,51,27. ,17,00110
2330100,1,1997,12,02,03,18,31. ,05,00024
2330100,1,1997,12,07,12,51,25. ,10,00032
2330100,1,1997,12,23,01,32,55. ,05,00015
2330100,1,1998,05,15,03,57,40. ,10,00012
2330100,1,1998,05,21,06,54,30. ,12,00036
2330100,1,1998,05,31,03,19,30. ,10,00014
2330100,2,1998,09,03,16,58,31. ,24,00161
2330100,2,1998,09,15,16,24,21. ,22,00284
2330100,1,1998,09,15,17,57,22. ,07,00054
2330100,1,1998,11,24,04,48,50. ,06,00020
2330100,3,1999,02,26,14,18,26. ,32,00497
2330100,2,1999,02,26,14,19,20. ,15,00120
2330100,1,1999,02,28,10,37,00. ,06,00065
2330100,2,1999,03,08,17,46,41. ,15,00185
2330100,1,1999,03,11,20,06,31. ,08,00027
2330100,1,1999,04,08,22,13,40. ,06,00009
2330100,2,1999,04,19,03,44,22. ,16,00094
2330100,1,1999,05,13,03,01,18. ,13,00030
2330100,1,1999,06,23,13,19,59. ,05,00056
2330100,1,1999,10,03,06,09,51. ,07,00017
2330100,1,1999,11,15,10,35,07. ,11,00049
2330100,1,2000,01,10,17,33,46. ,05,00031
2330100,1,2000,01,28,23,23,38. ,12,00026
2330100,2,2000,02,11,16,08,44. ,19,00151
2330100,1,2000,02,18,22,38,54. ,09,00056
2330100,1,2000,03,20,06,26,48. ,06,00014
2330100,1,2000,07,21,03,40,38. ,12,00020
2330100,1,2000,08,27,16,55,04. ,10,00067
2330100,1,2000,10,03,13,14,40. ,11,00021
2330100,1,2000,12,22,19,16,07. ,13,00027
2330100,1,2001,02,08,00,24,47. ,07,00045
2330100,1,2001,02,25,06,55,05. ,10,00018
2330100,1,2001,04,03,04,54,59. ,13,00027
2330100,1,2001,04,07,12,23,40. ,07,00073
2330100,1,2001,04,10,11,34,48. ,10,00092
2330100,1,2001,04,12,08,46,39. ,13,00266
2330100,1,2001,08,14,05,12,19. ,14,00032
2330100,1,2001,10,02,17,20,39. ,05,00014
2330100,1,2001,11,13,16,45,35. ,05,00019
2330100,3,2001,12,02,22,02,14. ,29,00162
2330100,1,2002,01,27,16,09,42. ,13,00037
2330100,1,2002,05,06,17,12,42. ,07,00022
2330100,2,2002,05,12,10,29,53. ,19,00075
2330100,1,2002,10,14,23,13,54. ,11,00025
2330100,2,2002,10,25,05,00,53. ,16,00131
2330100,2,2002,11,03,12,38,06. ,21,00086
2330100,1,2002,11,17,13,57,59. ,08,00013
2330100,1,2002,12,01,18,58,55. ,08,00016
2330100,1,2002,12,05,00,51,19. ,08,00023
2330100,1,2002,12,05,00,53,36. ,05,00019
2330100,1,2003,02,19,14,03,54. ,10,00017
2330100,1,2003,03,03,07,47,30. ,13,00030
2330100,1,2003,04,17,03,01,00. ,08,00017
2330100,4,2003,05,26,18,24,52. ,44,01001
2330100,1,2003,05,26,18,40,21. ,08,00034
2330100,1,2003,05,26,18,49,45. ,08,00031
2330100,1,2003,05,26,22,34,37. ,11,00043
2330100,2,2003,05,27,00,44,36. ,20,00092
2330100,1,2003,05,31,18,42,23. ,09,00031
2330100,2,2003,06,10,16,24,24. ,17,00067
2330100,1,2003,07,18,12,33,04. ,14,00040
2330100,2,2003,07,26,00,13,28. ,15,00062
2330100,2,2003,07,26,07,13,51. ,22,00127
2330100,1,2003,07,26,16,57,06. ,09,00025
2330100,1,2003,07,27,15,27,30. ,10,00027
2330100,1,2003,07,28,04,08,28. ,05,00025
2330100,1,2003,08,22,22,45,02. ,13,00038
2330100,2,2003,08,29,13,38,31. ,20,00216
2330100,2,2003,09,26,04,51,25. ,16,00036
2330100,2,2003,09,26,06,09,16. ,18,00045
2330100,2,2003,10,31,10,07,15. ,16,00038
2330100,1,2004,01,26,17,46,00. ,10,00032
2330100,2,2004,02,04,15,08,52. ,19,00078
2330100,1,2004,02,27,11,50,07. ,10,00035
2330100,1,2004,02,29,05,33,33. ,08,00036
2330100,1,2004,04,14,11,11,37. ,09,00064
2330100,1,2004,05,29,12,48,02. ,08,00018
2330100,1,2004,08,10,15,13,55. ,13,00032
2330100,2,2004,10,23,17,56,44. ,19,00066
2330100,1,2004,10,23,18,04,21. ,10,00033
2330100,1,2004,10,23,18,13,04. ,12,00030
2330100,1,2004,10,23,18,34,52. ,14,00052
2330100,1,2004,10,25,06,06,07. ,08,00024
2330100,1,2004,10,27,10,41,59. ,09,00030
2330100,1,2004,11,08,11,17,06. ,08,00022
2330100,1,2004,11,08,11,33,23. ,06,00018
2330100,1,2004,11,13,23,41,32. ,07,00047
2330100,1,2004,11,29,03,34,20. ,11,00015
2330100,1,2004,12,06,23,17,20. ,08,00014
2330100,1,2004,12,29,22,59,24. ,05,00022
2330100,1,2004,12,30,22,30,04. ,12,00048
2330100,1,2005,01,18,23,11,16. ,05,00010
2330100,1,2005,02,26,21,38,31. ,12,00029
2330100,1,2005,05,21,07,01,55. ,12,00034
2330100,1,2005,05,27,17,07,37. ,11,00037
2330100,2,2005,06,02,06,56,05. ,18,00318
2330100,3,2005,08,16,11,46,57. ,32,00273
2330100,1,2005,08,24,19,15,55. ,09,00022
2330100,1,2005,08,31,03,11,50. ,08,00016
2330100,1,2005,09,10,19,25,53. ,12,00137
2330100,1,2005,10,18,01,14,40. ,06,00019
2330100,1,2005,10,19,20,46,00. ,11,00018
2330100,2,2005,11,01,11,01,15. ,21,00274
