station,intensity,year,month,day,hour,minute,intensity_equip,acceleration_max_comb
2010830,1,1999,03,19,02,56,14,00029
2010830,2,1999,05,13,03,00,23,00096
2010830,2,1999,10,03,06,09,15,00028
2010830,2,1999,10,03,18,24,16,00235
2010830,2,2000,01,28,23,23,24,00089
2010830,1,2000,04,12,00,09,13,00046
2010830,1,2000,07,21,03,41,06,00008
2010830,1,2000,08,27,00,32,05,00011
2010830,2,2000,10,03,13,14,17,00033
2010830,1,2000,11,14,00,59,07,00010
2010830,2,2000,12,22,19,15,18,00042
2010830,1,2001,02,25,06,56,05,00008
2010830,1,2001,02,26,15,01,07,00013
2010830,1,2001,03,23,20,33,05,00010
2010830,2,2001,04,03,04,54,15,00033
2010830,1,2001,04,27,02,51,09,00017
2010830,1,2001,05,25,09,44,11,00016
2010830,2,2001,08,24,18,48,16,00044
2010830,1,2001,10,04,02,28,07,00015
2010830,3,2001,12,02,22,02,26,00082
2010830,1,2002,01,27,16,10,06,00013
2010830,1,2002,02,14,10,13,13,00027
2010830,1,2002,02,21,04,51,06,00180
2010830,2,2002,04,04,08,42,19,00057
2010830,1,2002,04,21,06,31,10,00023
2010830,1,2002,05,22,05,06,05,00011
2010830,1,2002,05,30,14,08,07,00016
2010830,1,2002,07,10,23,49,07,00012
2010830,1,2002,07,28,20,32,06,00011
2010830,1,2002,08,12,06,56,09,00017
2010830,1,2002,10,12,20,01,05,00010
2010830,2,2002,10,14,23,13,21,00074
2010830,1,2002,10,25,05,01,11,00033
2010830,2,2002,11,03,12,38,16,00032
2010830,2,2002,11,17,13,57,17,00041
2010830,1,2002,12,01,18,58,11,00023
2010830,2,2003,02,19,14,03,15,00031
2010830,1,2003,03,03,07,48,13,00025
2010830,2,2003,04,17,03,00,15,00030
2010830,1,2003,04,29,22,55,06,00013
2010830,1,2003,05,16,18,01,09,00026
2010830,3,2003,05,26,18,25,32,00206
2010830,1,2003,07,03,08,54,07,00009
2010830,1,2003,07,26,00,14,09,00014
2010830,2,2003,07,26,07,14,16,00042
2010830,2,2003,07,27,15,28,15,00033
2010830,1,2003,09,22,06,47,05,00012
2010830,4,2003,09,26,04,52,38,00419
2010830,1,2003,09,26,05,11,08,00012
2010830,1,2003,09,26,05,58,06,00012
2010830,4,2003,09,26,06,08,35,00281
2010830,1,2003,09,26,11,36,06,00010
2010830,1,2003,09,26,15,29,06,00008
2010830,1,2003,09,27,05,40,05,00010
2010830,1,2003,09,28,07,24,09,00014
2010830,1,2003,09,29,11,38,13,00027
2010830,1,2003,09,29,23,24,07,00011
2010830,1,2003,10,08,18,08,11,00016
2010830,1,2003,10,11,09,10,08,00013
2010830,1,2003,10,12,03,27,06,00010
2010830,1,2003,10,29,06,51,05,00009
2010830,2,2003,10,31,10,07,15,00025
2010830,1,2003,11,14,07,40,05,00012
2010830,1,2003,11,24,21,19,09,00013
2010830,1,2003,12,08,16,21,05,00012
2010830,1,2003,12,22,17,48,06,00012
2010830,1,2003,12,29,10,32,05,00011
2010830,1,2004,02,04,15,09,12,00025
2010830,1,2004,07,04,21,32,07,00014
2010830,1,2004,07,21,09,12,07,00013
2010830,1,2004,07,21,09,39,09,00018
2010830,2,2004,08,10,15,14,17,00040
2010830,1,2004,10,23,17,57,09,00015
2010830,1,2004,11,06,04,23,12,00053
