station,intensity,year,month,day,hour,minute,second,intensity_equip,acceleration_max_comb
6310035,1,2011,06,04,01,58,26. ,13,00049
6310035,2,2011,07,05,19,19,23. ,21,00095
6310035,2,2011,10,04,19,19,52. ,15,00060
6310035,2,2011,11,21,19,17,15. ,22,00109
6310035,1,2012,07,26,02,21,50. ,07,00016
6310035,2,2012,09,08,10,42,00. ,15,00077
6310035,1,2012,10,10,05,50,19. ,13,00021
6310035,3,2012,10,27,04,44,45. ,32,00526
6310035,1,2012,12,22,15,16,06. ,09,00025
6310035,1,2013,03,27,06,23,12. ,09,00054
6310035,3,2013,04,13,05,33,44. ,30,00187
6310035,4,2014,03,14,02,07,17. ,35,00484
6310035,1,2014,08,29,04,15,43. ,12,00020
6310035,1,2014,10,16,04,40,05. ,08,00063
6310035,2,2015,02,06,10,25,35. ,18,00096
6310035,1,2015,02,14,23,17,30. ,07,00030
6310035,1,2015,04,08,08,51,56. ,08,00029
6310035,1,2015,05,30,20,25,15. ,09,00014
6310035,3,2015,07,13,02,52,47. ,29,00121
6310035,1,2015,07,24,17,54,08. ,13,00046
6310035,1,2015,08,14,18,48,49. ,08,00064
6310035,1,2015,08,26,07,52,49. ,07,00013
6310035,1,2016,04,01,11,40,28. ,13,00025
6310035,2,2016,04,14,21,27,55. ,17,00037
6310035,2,2016,04,15,00,05,11. ,15,00024
6310035,3,2016,04,16,01,25,57. ,33,00180
6310035,2,2016,04,16,01,47,08. ,15,00025
6310035,1,2016,04,16,03,57,12. ,08,00013
6310035,1,2016,04,18,20,43,09. ,09,00016
6310035,1,2016,04,21,23,21,00. ,09,00043
6310035,1,2016,05,01,23,07,15. ,07,00040
6310035,3,2016,10,21,14,07,58. ,30,00184
6310035,1,2016,11,03,13,02,08. ,06,00026
6310035,2,2016,11,19,11,48,45. ,19,00089
6310035,1,2017,01,28,05,02,19. ,12,00058
6310035,1,2017,03,02,23,54,38. ,12,00023
6310035,2,2017,06,14,19,24,47. ,24,00182
6310035,1,2017,06,20,23,28,37. ,09,00016
6310035,1,2017,09,19,18,33,47. ,09,00025
6310035,1,2018,02,19,03,32,19. ,12,00024
6310035,2,2018,04,09,01,33,10. ,20,00076
6310035,1,2018,04,09,01,57,52. ,06,00014
6310035,1,2018,06,12,04,56,19. ,07,00010
6310035,2,2018,06,18,07,59,41. ,16,00037
6310035,1,2018,06,26,17,01,02. ,06,00017
6310035,2,2018,11,02,16,54,33. ,15,00055
6310035,1,2018,11,05,08,19,57. ,06,00030
6310035,1,2018,11,25,18,19,32. ,07,00026
6310035,1,2019,01,21,23,17,53. ,08,00017
6310035,1,2019,03,11,15,38,22. ,09,00020
6310035,1,2019,03,13,13,49,22. ,13,00035
6310035,1,2019,03,27,09,12,30. ,05,00010
6310035,1,2019,03,27,15,39,10. ,10,00020
6310035,1,2019,05,10,08,50,09. ,11,00017
6310035,1,2019,05,11,09,00,31. ,14,00031
6310035,2,2019,11,26,15,09,33. ,17,00082
6310035,1,2020,03,09,04,29,24. ,14,00050
6310035,3,2020,06,10,00,22,47. ,30,00542
