station,intensity,year,month,day,hour,minute,intensity_equip,acceleration_max_comb
7790331,1,2011,03,23,20,31,13,00111
7790331,3,2011,07,21,04,18,30,00511
7790331,3,2011,11,08,12,00,29,00213
7790331,2,2011,12,11,10,23,17,00047
7790331,1,2012,04,21,12,13,13,00109
7790331,3,2013,01,28,05,57,28,00243
7790331,4,2013,03,06,05,32,37,01005
7790331,2,2014,02,02,15,06,17,00072
7790331,3,2014,03,03,05,11,31,00294
7790331,1,2014,06,11,16,31,11,00031
7790331,1,2014,10,03,07,52,09,00069
7790331,3,2014,10,22,09,15,32,00314
7790331,2,2014,11,29,07,38,17,00089
7790331,1,2015,05,22,22,29,11,00037
7790331,1,2015,06,01,10,18,14,00056
7790331,3,2016,01,09,23,13,27,00157
7790331,1,2016,05,18,00,42,09,00149
7790331,1,2016,05,27,12,44,13,00060
7790331,1,2016,07,26,00,12,12,00030
7790331,4,2016,09,26,14,20,38,00908
7790331,1,2016,09,29,12,22,11,00083
7790331,1,2016,10,18,16,22,14,00129
7790331,1,2017,02,02,20,06,14,00138
7790331,1,2017,04,28,16,54,07,00075
7790331,1,2017,05,15,16,06,13,00039
7790331,1,2017,07,26,19,33,14,00041
7790331,1,2017,08,16,21,51,10,00048
7790331,1,2018,03,12,19,21,13,00054
7790331,1,2018,07,23,17,31,12,00077
7790331,1,2018,09,15,09,08,13,00038
