station,intensity,year,month,day,hour,minute,second,intensity_equip,acceleration_max_comb
4620931,2,1998,06,23,22,54,45. ,16,00078
4620931,1,1998,10,01,08,55,21. ,09,00053
4620931,1,1998,12,05,01,38,54. ,12,00129
4620931,1,1999,03,01,14,37,21. ,07,00055
4620931,1,1999,03,25,00,08,03. ,13,00046
4620931,1,1999,07,18,00,27,31. ,14,00057
4620931,3,1999,08,21,05,33,25. ,34,00516
4620931,1,1999,11,01,01,52,54. ,06,00047
4620931,2,2000,04,15,02,41,30. ,23,00211
4620931,2,2000,04,28,11,42,33. ,18,00237
4620931,1,2000,07,11,05,43,43. ,05,00046
4620931,1,2000,10,09,02,20,20. ,10,00124
4620931,3,2000,10,31,01,43,05. ,32,00353
4620931,1,2001,03,02,07,30,45. ,09,00066
4620931,2,2001,03,24,15,28,56. ,17,00058
4620931,2,2001,08,25,22,22,11. ,20,00074
4620931,2,2001,09,13,05,43,09. ,19,00257
4620931,2,2001,10,02,21,14,43. ,16,00085
4620931,1,2002,01,04,13,19,10. ,05,00045
4620931,1,2002,01,04,16,34,08. ,10,00043
4620931,1,2002,02,04,06,02,16. ,11,00088
4620931,1,2002,04,28,10,34,55. ,12,00074
4620931,1,2002,08,11,23,00,31. ,11,00068
4620931,1,2002,10,29,18,55,55. ,10,00055
4620931,1,2003,07,06,08,30,57. ,12,00068
4620931,2,2004,01,06,14,51,08. ,18,00084
4620931,4,2004,09,05,19,07,26. ,38,00916
4620931,1,2004,09,05,19,18,06. ,09,00068
4620931,1,2004,09,05,19,26,10. ,09,00050
4620931,4,2004,09,05,23,57,40. ,40,01042
4620931,1,2004,09,06,05,31,26. ,12,00036
4620931,3,2004,09,07,08,29,58. ,33,00362
4620931,2,2004,09,08,03,36,54. ,21,00119
4620931,1,2004,09,08,23,59,01. ,14,00064
4620931,1,2005,02,04,01,09,08. ,07,00042
4620931,1,2005,11,01,12,48,05. ,10,00034
4620931,1,2005,12,21,21,41,50. ,05,00077
4620931,1,2006,06,24,22,19,01. ,11,00079
4620931,1,2007,02,25,20,41,53. ,07,00070
4620931,2,2007,04,15,12,20,05. ,21,00094
4620931,3,2007,07,16,17,24,31. ,25,00380
4620931,1,2008,01,16,14,51,57. ,05,00044
4620931,1,2008,11,10,10,31,17. ,11,00060
4620931,1,2009,06,06,05,51,59. ,07,00070
4620931,2,2010,07,21,06,19,31. ,19,00110
4620931,1,2011,02,21,15,46,31. ,12,00059
4620931,1,2011,07,04,11,07,30. ,08,00040
4620931,1,2011,07,05,19,19,07. ,09,00036
4620931,1,2011,07,24,23,32,25. ,11,00125
4620931,1,2011,08,10,08,13,43. ,12,00054
4620931,1,2011,09,16,07,15,30. ,07,00042
4620931,1,2012,01,09,00,37,40. ,08,00061
4620931,2,2013,04,13,05,33,56. ,17,00041
4620931,2,2013,08,30,17,32,29. ,18,00203
4620931,1,2014,11,12,10,14,20. ,10,00041
4620931,2,2016,04,01,11,39,18. ,20,00080
4620931,2,2016,11,19,11,48,21. ,22,00214
4620931,2,2018,06,18,07,59,12. ,17,00052
4620931,2,2018,11,02,16,54,18. ,16,00104
4620931,1,2018,12,03,17,08,44. ,07,00040
4620931,1,2019,03,13,13,49,19. ,11,00032
4620931,2,2020,08,01,12,15,18. ,15,00111
4620931,1,2020,10,26,06,35,22. ,09,00060
4620931,1,2020,12,24,02,56,04. ,11,00148
