code_prime,address,codes_ordered,lat,lon,datetime_b_s,datetime_e_s
3500151,東京中央区勝どき,"[3500151, 3500152, 3500153]",3539,13947,"['2000-03-28 12:00:00', '2018-03-01 12:00:00', '2020-05-08 12:00:00']","['2018-03-01 12:00:00', '2020-05-08 12:00:00', '2022-01-01 00:00:00']"
3500200,東京港区海岸,[3500200],3538,13945,['2014-11-27 12:00:00'],['2022-01-01 00:00:00']
3500230,東京港区芝公園,[3500230],3539,13945,['2007-04-02 12:00:00'],['2022-01-01 00:00:00']
3500250,東京港区白金,"[3500250, 3500253]",3538,13944,"['1999-07-21 12:00:00', '2016-12-14 12:00:00']","['2016-12-14 12:00:00', '2022-01-01 00:00:00']"
3500251,東京港区南青山,"[3500251, 3500252]",3540,13943,"['2000-03-28 12:00:00', '2013-01-16 12:00:00']","['2013-01-16 12:00:00', '2022-01-01 00:00:00']"
3500300,東京新宿区西新宿,[3500300],3541,13942,['2014-11-27 12:00:00'],['2022-01-01 00:00:00']
3500320,東京新宿区上落合,[3500320],3543,13941,['2006-06-20 12:00:00'],['2022-01-01 00:00:00']
3500330,東京新宿区歌舞伎町,"[3500330, 3500331, 3500332]",3542,13942,"['1999-07-21 12:00:00', '2014-06-08 12:00:00', '2020-10-29 12:00:00']","['2014-06-08 12:00:00', '2018-03-22 12:00:00', '2022-01-01 00:00:00']"
3500350,東京新宿区北新宿,[3500350],3542,13942,['1999-07-21 12:00:00'],['2000-07-18 12:00:00']
3500351,東京新宿区百人町,[3500351],3542,13942,['2000-07-18 12:00:00'],['2022-01-01 00:00:00']
3500431,東京文京区スポーツセンタ,[3500431],3543,13944,['2009-04-01 12:00:00'],['2022-01-01 00:00:00']
3500450,東京文京区本郷,[3500450],3542,13946,['1999-07-21 12:00:00'],['2022-01-01 00:00:00']
3500451,東京文京区大塚,[3500451],3543,13944,['2000-03-28 12:00:00'],['2022-01-01 00:00:00']
3500530,東京台東区東上野,"[3500530, 3500531, 3500532]",3543,13947,"['1999-07-21 12:00:00', '2007-03-05 12:00:00', '2019-12-09 12:00:00']","['2007-03-05 12:00:00', '2019-12-09 12:00:00', '2022-01-01 00:00:00']"
3500550,東京台東区千束,[3500550],3543,13948,['1999-07-21 12:00:00'],['2022-01-01 00:00:00']
3500600,東京墨田区横川,[3500600],3542,13949,['2014-11-27 12:00:00'],['2022-01-01 00:00:00']
3500630,東京墨田区吾妻橋,[3500630],3543,13948,['1999-07-21 12:00:00'],['2022-01-01 00:00:00']
3500650,東京墨田区東向島,[3500650],3543,13949,['1999-07-21 12:00:00'],['2022-01-01 00:00:00']
3500700,東京江東区青海,[3500700],3537,13947,['2014-11-27 12:00:00'],['2022-01-01 00:00:00']
3500720,東京江東区越中島,[3500720],3540,13947,['2012-07-03 12:00:00'],['2022-01-01 00:00:00']
3500730,東京江東区東陽,"[3500730, 3500731]",3540,13949,"['1999-07-21 12:00:00', '2006-06-20 12:00:00']","['2006-06-20 12:00:00', '2022-01-01 00:00:00']"
3500750,東京江東区森下,[3500750],3541,13948,['1999-07-21 12:00:00'],['2022-01-01 00:00:00']
