,code,address,lat,lon,from,to,latitude,longitude,date_b,date_e,duration
1424,3710042,長岡市寺泊敦ケ曽根＊,3737,13849,200804011200,,37.61666666666667,138.81666666666666,2008-04-01,2019-12-31,11.748358966987686
1425,3710043,長岡市寺泊烏帽子平＊,3738,13846,200805071700,,37.63333333333333,138.76666666666668,2008-05-07,2019-12-31,11.6497943147361
1426,3710044,長岡市東川口＊,3716,13852,199711101200,,37.266666666666666,138.86666666666667,1997-11-10,2019-12-31,22.138716058509072
1427,3710131,三条市西裏館＊,3738,13857,200403011200,,37.63333333333333,138.95,2004-03-01,2019-12-31,15.83331622141454
1428,3710132,三条市荻堀＊,3734,13902,199711101200,,37.56666666666667,139.03333333333333,1997-11-10,2019-12-31,22.138716058509072
1429,3710133,三条市新堀＊,3735,13855,199711101200,,37.583333333333336,138.91666666666666,1997-11-10,2019-12-31,22.138716058509072
1430,3710232,柏崎市高柳町岡野町（旧）＊,3713,13838,199711101200,201010051700.0,37.21666666666667,138.63333333333333,1997-11-10,2010-10-05,12.901017816929848
1431,3710234,柏崎市西山町池浦＊,3727,13840,200801071200,,37.45,138.66666666666666,2008-01-07,2019-12-31,11.981081062581708
1432,3710235,柏崎市中央町＊,3722,13834,200910011300,202012241200.0,37.36666666666667,138.56666666666666,2009-10-01,2019-12-31,10.247985927157984
1433,3710300,小千谷市城内,3719,13848,199604011200,,37.31666666666667,138.8,1996-04-01,2019-12-31,23.748605378618315
1434,3710321,小千谷市旭町＊,3718,13849,200801291500,,37.3,138.81666666666666,2008-01-29,2019-12-31,11.920847108427962
1435,3710430,加茂市幸町＊,3740,13902,199711101200,,37.666666666666664,139.03333333333333,1997-11-10,2019-12-31,22.138716058509072
1436,3710531,十日町市千歳町＊,3708,13845,200403011200,,37.13333333333333,138.75,2004-03-01,2019-12-31,15.83331622141454
1437,3710532,十日町市水口沢（旧）＊,3710,13844,199711101200,201012219999.0,37.166666666666664,138.73333333333332,1997-11-10,2010-12-21,13.111836656467963
1438,3710533,十日町市上山（旧）＊,3703,13842,199711101200,201011271700.0,37.05,138.7,1997-11-10,2010-11-27,13.046126888300238
1439,3710535,十日町市松之山（旧）＊,3705,13836,199711101200,201010141700.0,37.083333333333336,138.6,1997-11-10,2010-10-14,12.925658979992745
1440,3710630,見附市昭和町（旧）＊,3732,13855,199711101200,201105121300.0,37.53333333333333,138.91666666666666,1997-11-10,2011-05-12,13.50061945146033
1441,3710830,田上町原ケ崎新田＊,3742,13903,199711101200,,37.7,139.05,1997-11-10,2019-12-31,22.138716058509072
1442,3711600,出雲崎町米田,3732,13842,199407151200,,37.53333333333333,138.7,1996-04-01,2019-12-31,23.748605378618315
1443,3711630,出雲崎町川西＊,3732,13843,199711101200,,37.53333333333333,138.71666666666667,1997-11-10,2019-12-31,22.138716058509072
1444,3712630,湯沢町神立＊,3656,13849,199711101200,,36.93333333333333,138.81666666666666,1997-11-10,2019-12-31,22.138716058509072
1445,3713131,津南町下船渡＊,3701,13839,200403011200,,37.016666666666666,138.65,2004-03-01,2019-12-31,15.83331622141454
1446,3713700,魚沼市米沢,3715,13901,199407151200,201603291200.0,37.25,139.01666666666668,1996-04-01,2016-03-29,19.992196965030082
1447,3713730,魚沼市堀之内（旧）＊,3715,13855,199711101200,201011261700.0,37.25,138.91666666666666,1997-11-10,2010-11-26,13.04338898129325
1448,3713731,魚沼市小出島（旧）＊,3714,13858,199711101200,202005081200.0,37.233333333333334,138.96666666666667,1997-11-10,2019-12-31,22.138716058509072
1449,3713732,魚沼市大沢＊,3714,13900,199711101200,,37.233333333333334,139.0,1997-11-10,2019-12-31,22.138716058509072
1450,3713733,魚沼市今泉＊,3715,13859,199711101200,,37.25,138.98333333333332,1997-11-10,2019-12-31,22.138716058509072
1451,3713734,魚沼市須原（旧）＊,3719,13901,199711101200,201012149999.0,37.31666666666667,139.01666666666668,1997-11-10,2010-12-14,13.092671307419042
1452,3713735,魚沼市穴沢（旧）＊,3721,13904,199711101200,201312251200.0,37.35,139.06666666666666,1997-11-10,2013-12-25,16.123534364155322
1453,3713800,南魚沼市六日町,3704,13853,199604011200,,37.06666666666667,138.88333333333333,1996-04-01,2019-12-31,23.748605378618315
1454,3713820,南魚沼市塩沢小学校＊,3702,13851,200606201200,,37.03333333333333,138.85,2006-06-20,2019-12-31,13.530736428537205
1455,3713830,南魚沼市浦佐＊,3710,13856,199711101200,,37.166666666666664,138.93333333333334,1997-11-10,2019-12-31,22.138716058509072
1456,3713831,南魚沼市塩沢庁舎＊,3702,13851,199711101200,,37.03333333333333,138.85,1997-11-10,2019-12-31,22.138716058509072
1457,3720120,新発田市本町＊,3757,13920,200606201200,,37.95,139.33333333333334,2006-06-20,2019-12-31,13.530736428537205
1458,3720131,新発田市乙次＊,3755,13918,199711101200,,37.916666666666664,139.3,1997-11-10,2019-12-31,22.138716058509072
