,code_prime,lon,lat,address,codes_ordered,gaps,distances,grand_date_b,grand_date_e,date_b_s,date_e_s,lats,lons,date_b_s_old,date_e_s_old,highest,highestplus1,duration,probability_not_occurr
2516,4433530,13747,3448,浜松浜北区西美薗,[4433530],[],[],1998-06-15,2023-12-31,['1998-06-15'],['2023-12-31'],[3448],[13747],,,4.0,5.0,8235.0,0.817174771747069
2517,2520530,13923,3701,檜枝岐村下ノ原,"[2520530, 2520531, 2520532]","[0, 0]","[0.0, 0.0, 0.0]",2001-12-12,2023-12-31,"['2001-12-12', '2010-08-25', '2019-06-05']","['2010-08-25', '2019-06-05', '2023-12-31']","[3701, 3701, 3701]","[13923, 13923, 13923]",,,4.0,5.0,6959.0,0.8171747717470691
2518,7310121,13001,3251,諫早市堂崎町,[7310121],[],[],2007-03-01,2023-12-31,['2007-03-01'],['2023-12-31'],[3251],[13001],,,4.0,5.0,5054.0,0.8171747717470691
2519,3912230,13642,3643,かほく市宇野気,"[3912230, 3912232]",[0],[0.0],1998-10-15,2023-12-31,"['1998-10-15', '2010-07-01']","['2010-07-01', '2023-12-31']","[3643, 3643]","[13642, 13642]",,,4.0,5.0,8113.0,0.8171747717470692
2520,6001030,13424,3407,上板町七條,"[6001030, 6001031]",[0],[0.0],1998-10-15,2023-12-31,"['1998-10-15', '2011-01-06']","['2011-01-06', '2023-12-31']","[3407, 3407]","[13424, 13424]",,,4.0,5.0,8113.0,0.8171747717470692
2521,1460120,14136,4238,苫小牧市旭町,[1460120],[],[],2006-03-01,2023-12-31,['2006-03-01'],['2023-12-31'],[4238],[14136],,,5.0,6.0,5419.0,0.8174059247128886
2522,3210333,13915,3621,伊勢崎市東町,"[3210333, 3210335]",[0],[0.0],1998-06-15,2023-12-31,"['1998-06-15', '2021-02-16']","['2021-02-16', '2023-12-31']","[3621, 3621]","[13915, 13915]",,,5.0,6.0,8235.0,0.8174896075701478
2523,2205500,14127,3841,南三陸町志津川,"[2205500, 2205510, 2205501, 2205512, 2205502]","[0, 0, 0, 0]","[0.0, 1.45, 1.45, 1.45, 1.45, 1.45, 1.45, 0.0, 0.0, 0.0]",1996-04-01,2023-12-31,"['1996-04-01', '2011-04-05', '2012-06-28', '2021-09-28', '2022-01-25']","['2011-04-05', '2012-06-28', '2021-09-28', '2022-01-25', '2023-12-31']","[3841, 3841, 3841, 3841, 3841]","[14127, 14127, 14128, 14128, 14128]",,,6.0,7.0,9040.0,0.8175119772260614
2524,1461021,14208,4246,むかわ町穂別,[1461021],[],[],2006-03-01,2023-12-31,['2006-03-01'],['2023-12-31'],[4246],[14208],,,6.0,7.0,5419.0,0.8176107576740611
2525,5910437,13323,3433,福山市神辺町,"[5910437, 5910442, 5910443]","[0, 0]","[0.0, 1.53, 1.53]",1998-10-15,2023-12-31,"['1998-10-15', '2011-01-06', '2016-06-20']","['2011-01-06', '2016-06-20', '2023-12-31']","[3433, 3433, 3433]","[13323, 13323, 13322]",,,4.0,5.0,8113.0,0.817625073877368
